age,gender,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
19,Female,1,5,3,5,1,4,1,4,1,1,5,3,5,3,3,5,5,5,5,3,4,4,1,3,1,4,2,3,2,3,2,5,5,4,3,5,4,3,1,1,4,5,4,5,4,2,4,4,5,4
34,Female,5,2,4,4,5,1,5,3,4,1,2,5,2,5,3,1,1,1,1,1,2,5,1,5,1,5,1,5,5,5,2,2,2,3,2,5,4,3,1,3,3,2,5,2,4,1,5,5,3,4
24,Male,5,1,5,2,5,1,4,1,5,2,2,2,4,3,2,2,4,4,2,2,5,5,1,5,1,5,1,5,5,5,2,2,4,2,2,1,4,1,5,5,4,2,4,2,5,1,4,4,5,5
18,Female,2,2,3,3,3,2,3,4,2,5,2,4,4,3,4,4,2,2,4,1,1,2,3,4,1,5,1,4,5,4,1,2,4,2,1,3,3,3,1,3,3,3,5,3,3,2,4,3,4,3
28,Female,3,4,3,2,2,2,2,4,2,4,4,3,4,4,4,4,5,5,4,2,3,4,1,5,1,5,4,4,5,3,4,3,5,5,3,3,4,1,2,4,3,2,5,1,4,1,5,3,5,3
29,Female,1,1,5,1,5,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3,1,5,3,5,1,5,3,5,5,1,5,1,5,1,5,3,3,3,3,1,5,1,5,1,5,1,3,5
21,Female,2,4,5,5,3,2,1,5,5,3,3,4,4,5,5,5,5,5,5,5,5,5,1,5,1,5,1,4,5,5,5,4,5,5,3,4,5,3,1,4,3,2,5,1,5,1,5,1,5,5
21,Female,3,2,4,3,3,2,3,3,5,5,3,3,4,3,5,4,3,3,4,2,5,5,2,4,3,5,2,4,5,5,3,4,5,2,3,5,1,3,2,3,2,1,4,2,4,2,5,2,5,2
27,Male,4,1,5,3,5,1,4,5,5,3,3,4,4,3,3,2,3,2,2,2,1,5,2,5,1,5,2,5,5,4,4,4,5,2,3,2,2,2,4,3,5,1,5,1,5,1,5,5,5,5
33,Male,1,3,1,4,2,4,1,5,1,5,3,3,3,4,3,2,2,1,3,1,3,1,3,2,5,2,5,2,1,3,3,3,3,3,2,2,5,3,3,4,5,1,5,1,5,1,3,4,5,5
17,Male,4,1,5,1,5,2,5,1,5,1,2,3,4,2,2,4,4,4,4,4,1,4,3,4,1,4,2,4,4,4,2,4,2,4,2,3,3,2,3,3,5,3,5,1,5,1,3,4,4,5
31,Male,4,3,4,4,3,2,1,3,1,3,2,3,2,3,3,2,2,3,3,3,4,4,1,4,3,4,2,4,2,4,3,2,2,3,2,2,4,2,3,4,2,3,5,2,4,1,3,3,3,4
28,Female,3,3,5,2,4,3,5,4,2,1,2,5,2,3,2,5,4,4,5,3,4,2,1,5,1,5,3,4,5,5,4,1,5,1,5,1,5,1,5,4,3,2,5,2,4,3,5,4,5,4
19,Male,1,5,2,5,1,5,1,5,3,5,4,5,3,1,1,3,4,3,3,5,5,5,1,5,3,5,5,3,5,3,5,3,5,3,3,1,3,2,5,4,5,1,5,3,5,1,5,5,5,5
15,Male,5,2,4,4,2,4,5,5,5,5,2,5,2,3,2,2,3,2,3,3,4,3,3,1,3,4,3,2,2,4,3,1,4,3,3,5,2,3,1,4,3,2,4,2,5,1,3,4,4,5
18,Female,1,4,3,5,2,1,1,5,1,5,4,2,4,5,5,4,5,5,5,5,3,3,3,4,1,3,1,2,3,4,4,4,5,4,1,1,4,2,2,2,5,1,5,1,4,1,4,5,5,5
48,Female,3,1,5,2,5,2,3,2,4,1,2,4,3,3,2,2,3,3,2,2,1,5,2,4,2,3,2,4,5,5,3,5,3,2,1,2,2,3,2,3,4,1,5,2,4,1,3,2,4,5
31,Female,1,1,4,5,5,1,4,5,1,5,1,3,4,1,3,1,4,4,2,5,1,5,2,5,1,5,1,5,5,5,3,5,4,5,1,4,1,2,4,5,5,1,5,1,4,1,5,4,5,5
34,Female,4,1,5,1,5,1,5,2,3,1,3,4,4,4,2,1,1,2,2,1,1,4,1,4,1,4,1,4,4,4,4,2,4,1,3,2,3,3,2,4,3,2,4,2,3,1,4,3,3,3
19,Male,2,1,2,5,2,4,2,1,5,5,1,5,2,3,3,1,5,4,2,3,4,4,1,5,2,3,1,4,3,5,5,4,5,1,2,1,5,5,5,4,2,1,2,1,3,4,5,3,2,3
19,Female,4,4,4,1,5,3,5,3,5,4,2,5,2,3,4,1,5,4,2,4,1,5,2,5,1,4,1,5,5,5,3,4,1,4,4,2,3,3,4,4,3,4,5,1,5,1,5,2,4,4
21,Female,1,5,2,5,1,2,1,4,4,4,1,4,2,4,1,1,1,1,3,2,4,3,2,2,5,2,4,4,3,4,3,3,4,1,2,2,4,2,1,5,4,1,4,2,4,2,4,4,4,4
23,Female,1,2,1,5,1,4,3,5,1,5,5,1,5,5,4,5,4,5,5,5,2,1,3,2,2,4,5,5,1,1,1,3,3,5,1,5,1,5,1,1,3,2,4,1,3,1,4,5,5,5
36,Male,3,2,2,2,3,4,3,3,4,4,2,2,5,2,4,3,3,3,3,3,3,3,4,3,3,3,2,4,4,4,4,3,3,3,3,5,3,2,3,3,4,4,4,2,4,2,4,4,4,3
40,Female,5,1,5,2,5,2,5,1,5,1,2,4,4,2,4,2,2,3,4,2,4,3,2,3,3,2,3,3,4,4,4,1,5,1,5,1,5,1,4,5,5,1,5,2,5,1,5,5,4,5
15,Female,1,4,2,5,3,4,1,5,1,5,5,2,5,1,4,4,5,4,3,4,1,3,1,5,2,5,3,4,5,3,4,2,4,2,4,2,5,1,4,5,4,2,5,2,3,1,5,3,5,3
21,Female,3,2,4,2,5,2,4,4,2,2,3,4,4,3,2,4,2,2,3,2,2,5,1,4,1,3,1,4,5,4,5,3,4,2,4,3,5,2,4,5,5,2,3,1,4,2,5,4,4,4
27,Female,3,4,2,5,3,1,3,5,1,5,3,3,5,3,4,2,2,1,2,2,1,5,1,5,1,5,1,5,5,5,3,4,5,2,2,2,5,2,3,5,5,1,5,1,5,1,4,5,5,5
28,Female,1,2,4,3,4,3,1,4,4,5,4,4,4,2,4,4,4,4,4,4,1,4,2,4,2,4,1,4,4,4,3,5,3,4,1,5,3,2,3,3,4,2,4,2,3,1,4,4,5,4
36,Female,3,3,3,4,3,2,3,4,2,4,4,4,5,2,3,4,3,2,3,4,5,5,1,5,1,5,1,4,5,3,4,4,3,1,3,4,3,2,3,5,5,1,5,1,5,1,5,5,5,5
45,Male,5,1,5,1,5,1,5,1,5,1,5,5,5,1,1,5,5,5,5,3,1,5,5,5,1,5,1,4,5,5,3,5,5,4,1,4,4,3,3,4,5,1,5,1,5,1,5,5,5,5
58,Female,2,1,5,3,4,2,5,4,3,3,2,4,3,4,2,4,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,3,3,2,4,3,3,1,3,3,3,2,4,3,3,2,4,1,5,3
29,Female,3,2,4,3,4,4,3,3,3,4,2,4,4,4,2,2,4,2,2,1,1,4,2,4,2,4,2,4,3,3,4,4,4,2,5,3,5,2,3,4,3,3,5,2,3,2,3,3,4,3
29,Female,5,1,5,1,4,1,5,1,5,2,2,5,2,4,5,3,4,3,2,3,2,5,1,5,1,4,1,4,5,5,2,4,2,3,3,4,3,3,3,2,5,1,4,1,5,1,5,4,3,5
18,Female,2,3,3,4,3,3,2,3,3,4,2,4,4,4,4,3,4,4,3,4,2,3,3,4,3,3,3,3,3,3,2,3,4,4,2,3,3,3,3,3,4,3,4,4,3,3,3,3,3,4
43,Male,3,4,5,2,5,2,5,4,4,2,1,5,2,4,1,1,3,2,1,2,4,4,2,2,4,4,4,2,2,3,5,2,4,3,2,4,2,1,2,4,4,1,4,2,4,2,5,2,2,5
18,Female,1,5,1,5,1,4,1,5,1,5,5,2,5,1,2,4,4,2,4,4,1,3,3,3,2,3,2,3,2,2,4,5,3,5,2,5,2,3,1,3,4,3,4,2,1,3,4,3,4,4
19,Female,3,1,4,4,5,5,5,2,5,5,4,5,5,2,4,1,5,4,2,5,4,4,1,5,2,5,5,5,5,4,2,4,5,3,4,1,5,1,5,5,1,4,5,1,4,1,4,4,1,4
30,Male,1,5,2,5,1,4,1,2,2,5,2,4,5,1,4,5,5,5,4,5,1,3,1,5,4,5,4,5,5,3,3,2,3,3,2,2,4,3,3,3,2,1,1,1,4,1,5,3,4,5
26,Female,1,2,2,5,4,4,1,5,1,4,5,1,5,2,5,5,4,5,5,5,3,2,4,4,2,2,4,4,4,1,5,1,5,1,4,1,5,1,4,5,5,1,4,1,4,2,5,5,5,4
19,Male,4,2,5,2,5,2,4,2,4,2,2,5,2,3,2,2,2,2,2,2,2,4,2,4,2,5,2,4,4,4,3,2,3,2,3,2,3,3,3,3,3,2,4,2,4,2,3,3,4,4
17,Female,3,1,5,2,4,1,4,3,4,1,5,3,4,4,3,4,4,4,4,3,1,4,1,5,1,4,1,4,5,4,3,4,5,3,1,3,3,3,4,4,4,1,4,4,4,2,5,3,5,4
27,Male,3,4,2,3,2,2,1,4,2,4,3,4,3,5,2,5,4,1,3,5,2,4,4,5,4,5,3,5,5,5,2,4,4,3,2,3,5,1,1,5,1,2,5,2,5,1,5,3,3,5
17,Female,2,2,4,3,3,3,4,4,3,4,2,3,4,4,4,4,3,3,4,2,2,5,1,4,2,4,2,4,4,3,2,5,4,2,1,4,5,2,4,4,1,2,1,3,3,5,4,2,4,5
52,Female,3,3,4,2,4,4,5,2,5,3,3,2,5,5,3,2,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,1,5,1,5,5,5,1,5,5,5,1,4,1,4,1,5,5,5,5
42,Female,4,1,5,3,5,1,3,3,3,3,3,4,5,3,4,3,3,3,2,2,1,5,2,5,1,5,1,5,5,4,5,2,5,1,4,2,3,1,5,4,5,1,5,1,4,5,5,5,5,3
76,Male,3,2,5,2,4,2,4,3,4,2,2,4,2,4,4,2,2,2,2,2,2,4,4,4,2,4,2,4,4,4,4,5,4,2,2,5,4,2,4,3,4,2,4,2,4,2,4,4,4,4
15,Female,3,2,5,1,4,2,3,3,2,5,1,4,1,3,2,2,2,3,4,2,2,4,1,3,1,4,2,3,3,3,1,4,2,3,1,5,1,3,2,3,1,1,5,1,3,1,2,1,2,5
21,Female,4,1,5,2,5,1,5,3,5,1,5,2,5,2,3,3,3,3,4,2,1,5,2,5,2,5,1,5,5,3,3,4,3,3,1,1,3,3,4,3,3,1,3,3,3,3,5,4,3,3
13,Male,1,5,1,5,1,1,1,5,1,4,3,3,4,4,4,2,2,1,5,2,2,1,4,3,2,2,5,4,4,1,5,1,5,2,5,1,5,1,5,5,5,1,2,1,5,5,5,5,5,5
47,Female,1,2,3,4,3,1,1,5,1,5,1,5,2,5,1,1,1,1,2,1,1,5,1,5,1,3,1,5,5,5,5,1,5,1,5,1,5,1,5,5,5,1,3,1,5,1,5,3,5,5
22,Male,3,4,4,4,4,2,2,4,2,4,2,4,4,2,2,2,2,2,2,4,2,4,2,4,2,4,2,4,4,3,4,2,4,2,4,2,5,2,4,4,4,2,4,2,4,2,4,4,4,4
44,Female,2,2,3,5,3,3,1,5,1,4,4,1,4,3,3,1,3,2,2,2,1,2,1,4,2,5,2,4,4,4,4,3,4,2,3,2,4,1,4,4,4,3,4,3,4,1,5,4,3,3
25,Female,3,2,4,3,3,2,2,4,3,3,4,1,4,3,3,4,4,4,4,4,1,5,3,5,1,3,1,3,4,4,2,3,4,3,3,1,5,3,5,3,3,3,2,3,4,3,3,2,4,3
19,Female,2,4,2,4,2,3,3,4,2,5,5,2,5,3,5,4,5,5,5,5,4,4,3,3,4,5,3,4,4,2,4,5,4,5,1,5,4,4,3,3,4,4,4,3,3,3,4,5,5,3
44,Male,4,1,3,2,5,1,5,1,5,1,1,4,3,2,1,1,5,5,1,5,1,4,4,4,1,5,1,5,5,3,2,4,5,1,1,1,4,2,1,4,2,1,5,1,5,1,5,1,5,5
45,Male,3,4,2,4,2,4,2,4,2,5,4,3,4,2,4,4,4,3,4,2,1,2,2,4,2,5,2,4,4,4,3,1,5,2,4,1,4,2,4,4,3,2,5,2,3,2,4,4,5,4
19,Female,4,1,5,1,5,1,5,1,5,2,5,2,5,1,5,5,5,5,5,4,1,5,1,5,1,5,1,5,5,5,4,4,4,2,4,4,4,1,2,5,5,4,5,4,5,2,5,1,5,5
16,Male,1,4,2,4,2,4,1,5,1,5,3,1,5,1,1,5,4,3,5,5,3,2,2,4,2,4,2,5,4,5,1,1,2,4,1,3,5,3,3,2,5,1,3,3,1,1,2,3,5,2
19,Female,3,2,4,3,3,2,4,3,2,5,3,4,4,3,4,3,4,3,3,2,2,4,3,4,2,3,3,5,3,3,2,5,3,4,1,5,3,4,2,2,3,3,4,2,4,3,3,2,3,3
55,Female,3,3,3,3,4,3,3,5,2,5,5,3,5,2,3,3,3,2,1,2,1,5,1,5,1,5,1,5,5,5,5,5,5,1,3,1,1,2,3,3,3,1,5,1,5,1,5,1,4,2
59,Female,5,1,5,1,5,1,5,5,5,5,3,2,3,4,2,2,3,1,2,2,1,5,1,5,1,5,1,4,5,5,3,1,1,1,4,4,4,1,5,5,5,1,5,5,5,1,5,4,5,5
18,Female,1,5,1,5,1,5,1,5,1,5,5,1,5,1,5,5,5,5,5,5,3,2,4,3,4,5,5,5,1,3,3,5,5,4,1,5,3,3,3,1,3,3,5,3,3,1,3,3,5,3
17,Female,3,4,3,5,1,4,2,2,2,4,5,3,4,5,3,4,4,4,3,4,2,4,2,5,2,4,2,4,4,4,3,5,4,3,2,4,4,3,4,4,4,2,5,2,5,1,4,4,4,5
56,Female,4,1,5,1,5,1,5,2,4,2,2,4,2,4,4,2,2,1,1,1,1,5,1,5,1,5,1,4,5,4,3,3,4,3,2,3,3,1,4,4,4,1,5,1,4,1,4,3,5,5
18,Female,5,2,4,3,3,1,5,3,5,5,5,3,5,4,1,5,4,4,3,3,1,4,1,5,2,5,1,5,5,4,3,4,5,2,1,3,4,2,3,4,3,1,4,1,3,2,4,4,5,4
29,Male,2,5,2,4,2,5,1,4,1,5,4,4,5,2,2,2,2,1,1,2,4,4,1,4,4,4,4,4,2,4,3,2,5,1,4,2,5,2,5,5,5,3,4,4,5,1,5,5,5,5
52,Female,4,1,5,2,4,1,4,3,2,4,5,4,5,3,4,5,2,2,5,2,1,5,1,4,2,5,1,4,4,4,3,5,5,3,1,5,2,4,2,2,5,3,5,4,4,1,4,5,5,4
33,Male,1,5,5,5,2,5,3,4,5,1,3,3,5,4,3,3,3,3,1,2,5,5,1,5,4,5,3,5,5,5,2,1,5,3,4,2,1,2,5,5,2,1,5,1,5,1,5,1,4,5
27,Male,2,4,2,3,2,5,1,2,5,5,5,1,4,3,5,4,5,5,3,5,4,3,3,4,2,5,2,3,5,5,3,1,3,4,3,1,3,1,5,5,3,3,5,2,5,3,4,3,5,5
23,Female,5,2,5,2,5,2,5,2,5,2,5,2,5,3,2,2,5,5,2,3,3,5,5,4,2,5,2,4,5,5,5,2,5,2,5,2,4,3,5,5,3,3,5,3,5,2,5,5,5,5
38,Female,1,3,4,2,4,2,3,2,4,3,3,4,2,2,1,1,2,2,1,4,3,3,2,4,3,4,3,3,4,4,4,3,4,1,4,1,4,2,2,4,4,1,3,2,4,2,5,4,4,3
16,Female,2,5,1,4,2,2,2,5,1,4,4,2,5,1,3,3,4,4,5,4,4,3,5,4,1,2,3,4,3,1,2,4,5,5,1,4,5,3,1,5,5,1,4,1,5,2,5,4,5,5
34,Male,4,5,3,5,3,5,2,5,1,4,5,4,5,2,5,4,5,5,4,5,5,5,1,5,1,5,1,5,5,5,4,1,5,1,4,1,5,1,5,2,2,1,5,1,2,1,4,1,5,3
50,Female,1,3,3,4,4,3,2,3,2,3,5,1,5,1,4,5,4,5,5,5,5,3,1,5,1,4,3,5,4,4,5,4,4,5,3,4,5,1,3,4,3,3,5,2,4,1,4,3,4,4
29,Female,5,3,5,3,3,1,3,3,5,4,3,4,2,3,2,4,5,3,5,1,3,1,3,2,5,1,3,4,2,4,2,3,5,4,2,1,5,3,5,3,5,1,3,4,4,1,5,5,4,4
26,Male,3,4,3,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,4,3,2,3,3,3,2,2,3,3,3,2,4,2,4,2,4,2,4,4,3,2,4,2,3,2,4,2,3,3
17,Female,3,5,1,1,1,5,1,1,5,5,1,1,1,2,1,3,5,1,1,3,4,1,1,2,1,1,5,3,3,5,5,1,5,3,5,1,5,1,5,5,4,1,5,1,5,1,5,5,5,5
22,Male,3,2,4,3,4,2,4,3,5,3,4,3,5,2,4,2,2,2,2,1,1,4,2,5,2,5,2,5,5,5,5,1,4,1,5,1,5,3,5,4,3,2,5,3,4,1,2,2,5,4
18,Male,2,3,2,4,3,2,4,2,4,1,3,3,4,3,4,3,3,2,2,3,3,5,2,2,3,4,3,4,3,2,2,2,3,3,3,3,4,3,3,4,4,1,4,2,4,2,4,3,4,4
19,Female,2,4,2,4,2,3,1,4,2,5,2,3,4,3,3,3,2,2,4,2,2,2,2,4,3,4,3,4,4,3,3,1,4,2,2,2,3,2,2,4,4,2,4,2,3,2,4,2,4,3
25,Male,2,3,3,3,4,3,2,2,2,4,4,4,4,3,3,4,3,3,4,3,2,3,1,3,4,4,3,2,4,2,3,4,3,2,3,4,4,2,4,3,4,1,4,1,4,2,4,4,3,4
16,Male,3,5,4,2,5,4,3,3,4,4,4,4,5,4,1,3,4,4,4,4,2,5,4,4,2,5,2,4,5,3,2,1,3,5,2,3,4,3,4,3,4,3,5,3,4,1,2,3,5,5
26,Female,3,2,5,3,5,1,5,2,5,5,5,3,4,2,2,3,4,3,3,3,1,4,2,5,1,5,1,5,5,5,3,3,5,2,3,5,5,2,4,5,4,3,3,3,3,1,4,4,3,1
21,Female,2,3,2,3,3,4,1,5,1,5,3,2,4,2,1,4,3,3,4,3,1,4,1,4,2,5,2,4,4,3,4,2,5,3,3,1,5,2,4,4,2,3,2,2,4,4,4,2,3,4
30,Male,4,2,4,3,4,2,4,3,4,3,5,2,5,4,5,4,4,4,4,4,5,3,2,4,2,4,2,4,4,4,5,1,5,2,4,1,5,2,3,4,4,2,5,2,4,2,4,4,4,4
17,Female,1,5,3,5,1,5,1,5,1,5,5,5,5,1,1,5,5,1,5,5,1,5,5,5,1,5,1,5,4,3,1,5,5,5,1,5,1,3,1,3,3,1,5,3,3,1,5,3,5,5
21,Male,2,3,2,3,3,1,1,3,4,4,2,4,2,4,1,2,2,2,2,2,4,2,4,2,5,2,5,2,1,2,4,2,4,1,3,2,4,1,4,5,4,1,5,1,5,1,4,4,5,5
31,Female,4,2,4,3,4,2,4,3,2,3,2,3,4,3,1,2,4,4,4,3,2,4,2,4,2,4,2,4,4,4,3,5,2,4,1,5,3,2,3,3,5,2,5,2,4,1,4,5,4,4
30,Female,3,2,2,4,2,2,4,3,3,3,5,2,5,1,5,5,5,5,5,5,1,4,3,5,1,5,1,5,5,3,4,4,4,4,3,4,4,2,3,4,4,1,5,1,4,1,4,3,5,5
21,Male,3,1,5,3,5,1,5,2,5,3,1,5,1,3,1,1,5,1,2,3,5,5,1,3,2,3,1,1,5,5,5,1,5,1,5,1,5,1,5,4,3,1,5,2,5,1,5,1,2,5
25,Male,3,2,4,3,4,3,4,2,4,3,5,3,4,2,4,4,5,5,4,5,2,4,3,4,2,4,3,4,5,5,3,4,5,4,3,4,3,4,3,4,4,3,4,2,5,1,4,4,5,5
19,Female,4,2,4,2,4,4,4,2,4,2,5,2,5,2,2,2,3,3,1,5,1,5,1,5,1,5,1,5,5,4,2,5,2,5,1,5,4,2,3,2,5,3,5,3,3,1,4,4,2,4
17,Female,2,3,3,1,4,2,2,4,4,5,3,5,2,2,1,1,3,1,3,1,4,2,2,3,3,2,3,2,3,3,3,3,5,1,2,4,2,2,2,4,5,1,5,1,5,1,5,5,3,5
14,Female,2,2,4,4,4,2,4,5,4,4,3,4,4,3,5,3,3,2,3,2,1,5,2,4,1,3,2,4,4,4,4,1,5,1,3,2,5,2,2,4,4,2,4,2,3,1,4,3,3,3
15,Male,4,1,4,2,4,1,5,3,3,1,2,4,2,2,3,1,2,1,4,1,3,4,3,3,3,3,2,3,2,3,2,3,2,3,1,3,3,4,2,3,3,3,4,3,2,2,3,1,3,3
20,Female,2,4,3,4,3,3,3,2,3,5,4,3,5,3,3,4,4,3,3,4,1,4,2,4,3,4,3,3,4,2,2,4,3,3,1,4,3,3,4,3,1,4,5,3,3,2,2,1,5,4
25,Male,3,1,3,2,4,4,5,2,4,2,4,2,5,4,2,4,4,4,4,4,1,4,2,5,1,3,2,4,4,4,4,2,4,4,2,2,4,3,3,4,2,2,5,2,5,1,4,3,4,4
24,Female,1,4,3,4,4,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,2,3,1,4,2,4,2,4,4,4,2,4,3,4,3,4,2,3,2,2,3,3,4,2,2,3,3,3,4,2
32,Male,4,2,5,2,5,1,5,2,4,2,4,3,4,1,3,4,4,4,4,4,1,5,3,5,2,5,1,4,4,5,3,4,4,3,3,3,4,3,3,3,5,1,5,1,5,1,5,4,5,5
23,Female,1,5,4,5,3,5,1,5,3,5,5,5,5,1,5,5,5,5,5,5,5,3,1,4,5,3,4,1,1,2,2,5,2,3,1,5,1,2,2,1,3,3,2,1,1,3,1,1,1,1
21,Male,4,4,2,3,2,4,2,3,4,2,4,2,2,3,2,4,4,3,2,3,2,3,1,2,3,2,3,3,2,3,2,1,4,2,3,2,4,3,3,3,1,3,3,3,4,2,4,2,4,3
41,Male,2,5,2,3,2,2,1,4,2,5,4,4,5,5,2,1,2,1,3,2,3,2,2,3,4,4,4,2,2,2,2,2,5,2,1,2,4,4,4,5,5,1,3,1,5,2,5,5,5,5
50,Female,4,2,5,5,4,2,3,3,4,1,1,5,5,1,5,5,2,2,4,3,1,4,1,5,1,4,1,1,5,5,5,2,5,1,4,5,5,1,3,3,4,1,3,1,5,2,5,3,5,4
21,Male,4,1,5,3,4,2,5,3,4,2,3,3,4,3,3,1,1,1,2,1,1,5,2,5,1,5,1,4,5,3,3,2,5,1,4,2,4,1,3,4,3,3,2,1,3,3,5,3,5,2
17,Male,2,4,3,4,4,3,2,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,3,4,2,4,2,2,4,4,2,2,4,4,2,5,2,4,2,4,3,5,3
15,Female,1,2,1,5,1,3,5,5,1,5,5,1,5,5,5,5,1,1,1,1,1,5,1,5,1,5,1,5,5,4,1,4,1,5,5,5,4,1,4,5,3,5,1,5,1,5,1,1,5,1
26,Female,2,4,1,4,3,5,1,3,2,5,4,2,4,2,2,5,5,4,5,4,3,4,4,4,2,3,2,4,3,2,4,2,4,3,2,2,4,3,3,3,3,1,4,2,3,2,4,3,5,3
52,Female,5,1,5,4,5,1,5,1,5,5,3,3,4,3,3,4,3,3,4,3,1,4,3,5,2,4,2,4,4,4,4,3,4,4,3,4,4,1,4,5,5,3,4,4,5,5,4,3,3,4
35,Female,3,1,4,2,5,1,4,4,1,2,4,3,4,1,3,4,4,4,4,3,1,5,2,5,2,5,1,4,5,4,4,4,4,4,4,1,4,4,4,3,4,2,5,2,4,1,3,4,4,3
18,Male,3,4,3,4,2,2,1,3,4,5,3,4,2,1,1,2,3,3,2,5,1,5,2,5,1,3,2,4,5,4,4,5,5,2,1,5,3,1,2,5,4,1,5,1,5,1,5,4,5,5
17,Male,1,2,3,5,4,2,1,5,1,2,1,2,4,2,1,1,3,1,2,4,2,3,4,5,2,3,4,3,5,4,5,1,4,1,1,2,4,3,4,4,3,2,5,2,4,2,4,4,5,4
16,Female,3,2,3,4,4,1,5,4,3,5,2,4,5,3,2,3,2,2,3,2,1,4,4,5,1,3,1,4,4,3,3,3,4,2,2,2,5,2,2,3,4,2,2,1,4,3,4,4,4,3
18,Male,4,2,4,4,4,2,5,3,4,3,3,4,2,4,2,3,3,3,3,2,2,5,3,3,2,5,2,3,4,3,3,1,4,2,1,3,4,3,5,4,4,2,3,2,3,2,3,4,2,3
16,Female,4,3,3,5,1,3,1,3,5,5,1,5,5,3,5,3,5,3,5,1,5,5,1,5,1,5,3,5,5,5,3,5,3,5,1,5,5,1,3,3,3,1,5,1,5,1,1,3,5,5
50,Male,4,2,4,4,5,1,4,4,2,4,5,1,5,2,3,2,3,2,4,3,1,5,3,5,1,5,1,2,4,4,1,2,3,2,1,4,2,2,3,2,4,1,5,1,4,1,3,2,2,3
17,Male,2,3,4,2,4,2,2,4,3,3,3,4,4,3,3,2,3,2,2,2,1,4,3,5,1,5,1,4,4,3,4,4,4,3,2,4,4,2,4,3,5,1,4,1,4,2,5,4,4,5
19,Male,2,3,3,4,4,2,1,4,4,5,1,5,2,3,4,1,2,4,2,4,4,4,4,2,4,2,2,1,5,3,5,4,2,4,1,5,1,5,1,4,4,1,4,1,4,2,5,4,4,5
