year,id,age,sex,race,degree,educ,region,marital,childs,wrkstat,hrs1,income_2000dollars,class,party,political_views,pres16,gunlaw,cappun,cannabis_legal,happy,health,life,trust,fear,satfin,mental_health_bad_days,tv_hours,socbar,relig,attend,god,postlife,bible,read_horoscope,astrology_is_scientific,evolved,bigbang,earthsun,radioact,lasers,electron,viruses,condrift,hotcore,expdesgn,odds1,odds2,science_score,science_answered
2018,16,75,female,white,high school,12,northeast,widowed,4,working part time,19,7886.249999999999,middle class,"independent (neither, no response)",slightly conservative,,favor,oppose,,pretty happy,good,dull,,yes,more or less satisfied,0,5,never,catholic,every week,no doubts,don't know,word of god,yes,sort of scientific,,,sun around earth,don't know,don't know,don't know,true,don't know,don't know,all 1000 get the drug,no,yes,0,7
2018,17,55,female,white,bachelor's,16,northeast,married,0,"unemployed, laid off, looking for work",,47317.5,working class,"independent, close to democrat",liberal,clinton,,oppose,should be legal,not too happy,,,most people can be trusted,,not satisfied at all,,3,about once a month,none,less than once a year,higher power,don't know,ancient book,,,,,,,,,,,,,,,0,0
2018,18,30,female,white,bachelor's,16,northeast,married,2,keeping house,,,middle class,"independent (neither, no response)",conservative,,favor,oppose,,very happy,excellent,routine,,no,more or less satisfied,,1,never,muslim/islam,never,no doubts,yes,inspired word,no,not at all scientific,false,true,earth around sun,false,true,true,false,false,true,500 get the drug; 500 don't,no,yes,6,9
2018,19,40,female,white,graduate,20,northeast,divorced,2,working full time,40,47317.5,middle class,not very strong democrat,liberal,clinton,favor,favor,should not be legal,pretty happy,excellent,routine,can't be too careful,no,more or less satisfied,0,,,protestant,about once a month,believe with doubts,don't know,ancient book,,,,,,,,,,,,,,,0,0
2018,20,30,male,white,graduate,18,northeast,never married,0,working full time,40,,middle class,"independent, close to republican","moderate, middle of the road",trump,,favor,should be legal,not too happy,,,can't be too careful,,more or less satisfied,9,0,several times a month,catholic,2-3 times a month,no doubts,yes,other (vol),,,,,,,,,,,,,,,0,0
2018,21,34,female,white,high school,15,northeast,married,1,working full time,42,26287.5,middle class,not very strong republican,conservative,,favor,oppose,,very happy,excellent,exciting,,yes,more or less satisfied,0,1,about once a year,orthodox-christian,about once or twice a year,believe with doubts,yes,inspired word,no,sort of scientific,true,true,earth around sun,false,false,don't know,false,true,true,500 get the drug; 500 don't,no,no,8,9
2018,22,29,female,other,associate/junior college,14,northeast,never married,0,in school,,,working class,not very strong republican,conservative,trump,favor,,don't know,pretty happy,good,routine,depends,no,more or less satisfied,,,,protestant,every week,no doubts,yes,word of god,,,,,,,,,,,,,,,0,0
2018,23,40,female,white,associate/junior college,14,northeast,married,1,working full time,32,70100,middle class,"independent, close to democrat","moderate, middle of the road",clinton,,favor,should be legal,pretty happy,,,can't be too careful,,not satisfied at all,0,5,several times a year,catholic,less than once a year,believe with doubts,yes,inspired word,yes,not at all scientific,don't know,,earth around sun,false,don't know,true,false,true,true,500 get the drug; 500 don't,no,yes,6,8
2018,24,37,male,white,high school,12,northeast,never married,0,working full time,50,31544.999999999996,working class,strong democrat,extremely liberal,clinton,favor,favor,,very happy,excellent,exciting,,no,more or less satisfied,5,1,several times a month,buddhism,never,higher power,yes,ancient book,yes,very scientific,,,earth around sun,false,false,true,false,true,true,500 get the drug; 500 don't,no,yes,7,7
2018,25,56,female,white,bachelor's,16,northeast,married,3,working part time,15,13143.75,middle class,not very strong republican,conservative,trump,oppose,oppose,,very happy,good,routine,,yes,more or less satisfied,1,2,several times a year,protestant,nearly every week,no doubts,yes,word of god,no,not at all scientific,false,false,earth around sun,false,false,true,false,false,true,500 get the drug; 500 don't,no,yes,6,9
2018,26,82,male,white,less than high school,8,northeast,widowed,2,retired,,,middle class,not very strong republican,"moderate, middle of the road",,favor,favor,should be legal,very happy,excellent,exciting,most people can be trusted,no,pretty well satisfied,,,,catholic,about once or twice a year,believe with doubts,no,inspired word,,,,,,,,,,,,,,,0,0
2018,27,68,female,white,high school,12,northeast,divorced,3,working full time,33,26287.5,working class,not very strong democrat,"moderate, middle of the road",trump,favor,favor,,pretty happy,good,routine,,yes,more or less satisfied,5,2,several times a year,catholic,2-3 times a month,no doubts,yes,inspired word,no,not at all scientific,false,false,earth around sun,false,don't know,don't know,false,true,true,500 get the drug; 500 don't,no,yes,5,9
2018,28,42,female,black,less than high school,9,northeast,never married,5,keeping house,,,middle class,not very strong democrat,"moderate, middle of the road",clinton,oppose,favor,should be legal,not too happy,excellent,routine,can't be too careful,no,more or less satisfied,,,,protestant,nearly every week,no doubts,yes,word of god,,,,,,,,,,,,,,,0,0
2018,29,40,female,white,high school,12,northeast,divorced,3,keeping house,,,middle class,strong republican,extremely conservative,don't know,,favor,should not be legal,not too happy,,,can't be too careful,,more or less satisfied,,3,about once a month,catholic,several times a year,no doubts,yes,word of god,no,sort of scientific,true,,earth around sun,false,true,false,true,true,true,all 1000 get the drug,no,yes,5,8
2018,30,20,male,white,high school,14,northeast,never married,0,working part time,40,9638.75,middle class,"independent, close to republican",liberal,,favor,oppose,don't know,pretty happy,excellent,exciting,can't be too careful,no,pretty well satisfied,0,,,catholic,less than once a year,no doubts,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,31,74,female,white,high school,12,northeast,married,2,retired,,,working class,"independent, close to republican",extremely conservative,trump,,favor,should not be legal,pretty happy,,,can't be too careful,,not satisfied at all,,5,never,catholic,about once or twice a year,no doubts,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,32,89,male,white,less than high school,8,northeast,married,7,retired,,,middle class,strong republican,"moderate, middle of the road",don't know,favor,oppose,should not be legal,not too happy,fair,routine,can't be too careful,no,not satisfied at all,,,,catholic,several times a week,no doubts,yes,word of god,,,,,,,,,,,,,,,0,0
2018,33,60,female,white,bachelor's,16,northeast,married,2,keeping house,,,middle class,"independent (neither, no response)","moderate, middle of the road",clinton,,oppose,should be legal,pretty happy,,,depends,,more or less satisfied,,3,about once a month,protestant,several times a year,no doubts,yes,inspired word,yes,not at all scientific,,,earth around sun,false,false,don't know,false,false,true,500 get the drug; 500 don't,no,yes,5,7
2018,34,56,female,white,bachelor's,16,northeast,divorced,0,working full time,46,84120,middle class,not very strong democrat,extremely liberal,clinton,oppose,oppose,,pretty happy,fair,exciting,,yes,pretty well satisfied,10,3,about once a month,none,never,don't believe,no,ancient book,no,not at all scientific,true,true,earth around sun,false,false,true,false,true,true,500 get the drug; 500 don't,no,yes,9,9
2018,35,55,female,white,less than high school,10,northeast,divorced,3,working part time,16,,middle class,"independent, close to democrat",conservative,clinton,,,should not be legal,very happy,,,can't be too careful,,more or less satisfied,0,2,never,protestant,every week,no doubts,yes,word of god,no,not at all scientific,false,,earth around sun,true,false,don't know,false,true,true,500 get the drug; 500 don't,yes,no,5,8
2018,36,65,male,white,graduate,18,northeast,married,5,working full time,40,70100,working class,strong republican,extremely conservative,trump,oppose,favor,should not be legal,very happy,excellent,exciting,most people can be trusted,no,pretty well satisfied,1,,,jewish,several times a year,no doubts,no,inspired word,,,,,,,,,,,,,,,0,0
2018,37,71,female,white,graduate,20,northeast,widowed,1,working part time,20,,middle class,strong democrat,"moderate, middle of the road",clinton,favor,oppose,,pretty happy,fair,exciting,,no,more or less satisfied,0,2,never,jewish,nearly every week,believe with doubts,no,inspired word,no,not at all scientific,true,true,earth around sun,false,don't know,true,false,true,true,500 get the drug; 500 don't,no,yes,8,9
2018,38,34,male,white,graduate,20,northeast,never married,0,working full time,45,31544.999999999996,lower class,strong democrat,extremely liberal,clinton,favor,oppose,should be legal,not too happy,good,exciting,can't be too careful,no,not satisfied at all,0,,,none,never,don't believe,no,ancient book,,,,,,,,,,,,,,,0,0
2018,39,45,male,white,graduate,19,northeast,married,1,working full time,50,31544.999999999996,working class,"independent, close to republican",slightly conservative,,,oppose,should be legal,pretty happy,,,can't be too careful,,more or less satisfied,0,1,never,protestant,every week,no doubts,yes,inspired word,no,not at all scientific,,,earth around sun,false,false,true,true,true,don't know,500 get the drug; 500 don't,no,yes,5,7
2018,40,50,female,black,high school,12,northeast,,,,,,,,"moderate, middle of the road",,favor,favor,,pretty happy,good,don't know,,no,,,4,about once a year,none,don't know,don't know,don't know,inspired word,no,not at all scientific,,,earth around sun,false,true,true,false,true,true,don't know,no,yes,6,7
2018,41,65,female,white,high school,12,northeast,divorced,2,working part time,30,9638.75,lower class,strong democrat,slightly liberal,clinton,,oppose,should be legal,pretty happy,,,most people can be trusted,,not satisfied at all,7,2,never,none,about once or twice a year,no doubts,yes,ancient book,,,,,,,,,,,,,,,0,0
2018,42,52,male,white,high school,12,northeast,never married,0,working full time,40,26287.5,working class,not very strong democrat,"moderate, middle of the road",,favor,favor,,pretty happy,good,routine,,no,more or less satisfied,10,5,once or twice a week,catholic,never,believe with doubts,yes,word of god,yes,not at all scientific,don't know,don't know,sun around earth,false,don't know,don't know,true,true,don't know,500 get the drug; 500 don't,no,no,2,9
2018,43,62,female,white,high school,12,northeast,widowed,1,retired,,,lower class,strong democrat,"moderate, middle of the road",clinton,,favor,should be legal,very happy,,,can't be too careful,,not satisfied at all,,8,never,catholic,about once or twice a year,believe with doubts,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,44,60,male,other,graduate,18,northeast,married,0,"with a job, but not at work because of temporary illness, vacation, strike",,,middle class,strong democrat,"moderate, middle of the road",clinton,favor,oppose,should be legal,pretty happy,excellent,exciting,most people can be trusted,no,pretty well satisfied,,,,other,about once or twice a year,higher power,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,45,62,female,white,bachelor's,16,northeast,divorced,2,keeping house,,47317.5,working class,"independent, close to democrat",liberal,clinton,favor,oppose,should be legal,pretty happy,excellent,exciting,most people can be trusted,yes,not satisfied at all,,,,muslim/islam,several times a year,no doubts,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,46,46,female,white,high school,12,northeast,widowed,3,working part time,25,22782.5,working class,not very strong democrat,slightly conservative,clinton,,oppose,don't know,not too happy,,,can't be too careful,,more or less satisfied,15,5,never,catholic,never,no doubts,no,word of god,,,,,,,,,,,,,,,0,0
2018,47,40,male,white,graduate,18,northeast,married,2,working part time,20,57832.5,middle class,not very strong democrat,slightly liberal,,,oppose,should be legal,pretty happy,,,most people can be trusted,,not satisfied at all,0,2,several times a year,catholic,never,no doubts,no,inspired word,yes,not at all scientific,,,earth around sun,false,false,true,false,true,true,500 get the drug; 500 don't,no,yes,7,7
2018,48,53,female,white,graduate,18,northeast,married,3,keeping house,,,upper class,not very strong democrat,slightly liberal,clinton,,favor,should be legal,pretty happy,,,most people can be trusted,,pretty well satisfied,,3,several times a year,catholic,every week,higher power,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,49,75,male,white,bachelor's,17,northeast,divorced,1,retired,,,middle class,not very strong republican,conservative,trump,,favor,should not be legal,pretty happy,,,most people can be trusted,,pretty well satisfied,,0,once or twice a week,protestant,every week,no doubts,yes,inspired word,no,not at all scientific,true,,earth around sun,false,false,false,false,true,true,all 1000 get the drug,no,yes,7,8
2018,50,67,female,white,bachelor's,16,northeast,divorced,2,retired,,,middle class,"independent, close to democrat","moderate, middle of the road",clinton,favor,oppose,,pretty happy,good,routine,,no,pretty well satisfied,,2,never,other,several times a year,higher power,yes,inspired word,yes,sort of scientific,,,earth around sun,false,false,true,false,true,true,500 get the drug; 500 don't,yes,no,7,7
2018,51,22,male,white,high school,14,northeast,never married,0,working full time,30,,working class,"independent (neither, no response)",don't know,,favor,oppose,should be legal,pretty happy,excellent,exciting,can't be too careful,no,more or less satisfied,0,,,catholic,about once or twice a year,no doubts,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,52,42,female,white,high school,12,northeast,separated,3,working full time,40,19277.5,working class,not very strong democrat,"moderate, middle of the road",clinton,favor,don't know,,not too happy,good,routine,,no,more or less satisfied,1,2,about once a month,protestant,several times a year,no doubts,yes,word of god,yes,not at all scientific,false,don't know,earth around sun,true,don't know,don't know,false,true,true,500 get the drug; 500 don't,no,yes,4,9
2018,53,59,female,white,graduate,18,northeast,divorced,2,working full time,55,57832.5,middle class,"independent (neither, no response)","moderate, middle of the road",,,favor,don't know,pretty happy,,,most people can be trusted,,not satisfied at all,11,20,never,jewish,several times a year,believe with doubts,don't know,other (vol),no,not at all scientific,,,don't know,true,true,don't know,false,true,don't know,500 get the drug; 500 don't,no,yes,2,7
2018,54,33,female,other,graduate,18,northeast,married,1,in school,,38555,working class,"independent (neither, no response)","moderate, middle of the road",,favor,don't know,should not be legal,very happy,good,routine,can't be too careful,don't know,more or less satisfied,,,,hinduism,several times a year,higher power,yes,other (vol),,,,,,,,,,,,,,,0,0
2018,55,46,male,white,bachelor's,16,northeast,married,2,working full time,40,176200.14942,middle class,"independent (neither, no response)",slightly liberal,trump,,oppose,should be legal,pretty happy,,,most people can be trusted,,pretty well satisfied,0,1,about once a year,none,about once or twice a year,don't believe,no,ancient book,,,,,,,,,,,,,,,0,0
2018,56,55,male,white,bachelor's,14,northeast,divorced,1,working full time,40,98140,middle class,not very strong republican,"moderate, middle of the road",trump,favor,favor,should be legal,pretty happy,fair,routine,most people can be trusted,yes,pretty well satisfied,0,,,catholic,less than once a year,believe with doubts,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,57,43,female,white,bachelor's,16,northeast,married,2,keeping house,,,middle class,"independent (neither, no response)","moderate, middle of the road",clinton,,oppose,should be legal,pretty happy,,,can't be too careful,,not satisfied at all,,1,about once a year,catholic,about once a month,no doubts,yes,inspired word,no,sort of scientific,true,,earth around sun,false,true,false,true,true,true,500 get the drug; 500 don't,no,yes,5,8
2018,58,45,female,black,high school,14,northeast,never married,2,"unemployed, laid off, looking for work",,6309,working class,"independent, close to democrat",don't know,,favor,favor,,not too happy,good,routine,,no,not satisfied at all,,0,about once a year,protestant,never,no doubts,yes,inspired word,no,not at all scientific,true,don't know,sun around earth,false,don't know,true,true,true,true,500 get the drug; 500 don't,don't know,yes,5,9
2018,59,23,male,white,less than high school,11,northeast,never married,0,working full time,35,47317.5,middle class,not very strong democrat,conservative,,oppose,oppose,should be legal,pretty happy,fair,exciting,can't be too careful,no,more or less satisfied,0,,,catholic,several times a year,no doubts,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,60,28,female,black,high school,9,northeast,separated,2,working part time,29,4556.5,lower class,not very strong democrat,"moderate, middle of the road",,,oppose,should be legal,not too happy,,,most people can be trusted,,not satisfied at all,5,12,never,none,never,higher power,yes,ancient book,,,,,,,,,,,,,,,0,0
2018,61,27,female,black,high school,13,northeast,married,1,keeping house,,2453.5,middle class,strong democrat,liberal,,favor,oppose,,pretty happy,fair,exciting,,yes,not satisfied at all,,17,never,other,about once or twice a year,no doubts,yes,inspired word,yes,very scientific,true,false,earth around sun,false,false,true,true,true,true,all 1000 get the drug,no,yes,7,9
2018,62,42,female,black,less than high school,10,northeast,married,3,working part time,25,14896.249999999998,lower class,strong democrat,extremely liberal,clinton,,oppose,should be legal,not too happy,,,most people can be trusted,,not satisfied at all,0,10,several times a year,protestant,about once or twice a year,no doubts,yes,word of god,yes,very scientific,false,,don't know,true,don't know,don't know,true,don't know,false,all 1000 get the drug,no,no,0,8
2018,63,41,female,black,bachelor's,16,northeast,never married,0,working full time,35,38555,middle class,strong democrat,"moderate, middle of the road",clinton,favor,oppose,,pretty happy,good,routine,,no,more or less satisfied,0,4,never,protestant,every week,no doubts,yes,word of god,no,not at all scientific,false,false,earth around sun,false,don't know,true,true,true,true,500 get the drug; 500 don't,no,yes,5,9
2018,64,64,female,black,high school,13,northeast,widowed,1,retired,,,middle class,strong democrat,"moderate, middle of the road",clinton,favor,favor,,pretty happy,excellent,exciting,,yes,not satisfied at all,,5,never,protestant,several times a week,no doubts,yes,word of god,no,not at all scientific,,,earth around sun,true,don't know,true,true,false,true,500 get the drug; 500 don't,yes,yes,3,7
2018,65,53,male,black,less than high school,12,northeast,never married,4,retired,,,working class,"independent, close to republican","moderate, middle of the road",,,oppose,should not be legal,pretty happy,,,can't be too careful,,more or less satisfied,,3,never,none,never,no doubts,yes,don't know,,,,,,,,,,,,,,,0,0
2018,66,79,male,black,graduate,20,northeast,divorced,4,retired,,,lower class,"independent, close to democrat",liberal,clinton,favor,oppose,,not too happy,excellent,routine,,no,more or less satisfied,,1,about once a year,protestant,several times a year,no doubts,yes,inspired word,yes,sort of scientific,true,false,sun around earth,false,true,false,true,don't know,true,500 get the drug; 500 don't,no,no,3,9
2018,67,34,male,white,high school,14,northeast,married,3,working full time,45,38555,working class,not very strong democrat,conservative,,favor,favor,,pretty happy,fair,routine,,no,more or less satisfied,0,1,several times a year,protestant,less than once a year,believe with doubts,no,ancient book,no,sort of scientific,,,earth around sun,false,false,false,true,true,true,500 get the drug; 500 don't,yes,no,5,7
2018,68,59,female,black,high school,14,northeast,separated,3,retired,,,working class,strong democrat,"moderate, middle of the road",clinton,favor,oppose,should be legal,very happy,good,exciting,can't be too careful,yes,not satisfied at all,,,,protestant,several times a week,no doubts,yes,word of god,,,,,,,,,,,,,,,0,0
2018,69,32,female,black,graduate,19,northeast,never married,0,working full time,55,98140,middle class,strong democrat,slightly liberal,clinton,favor,oppose,,pretty happy,excellent,exciting,,no,more or less satisfied,0,0,never,protestant,nearly every week,no doubts,yes,inspired word,no,not at all scientific,false,false,earth around sun,false,false,false,false,true,true,500 get the drug; 500 don't,no,yes,6,9
2018,70,33,female,black,bachelor's,16,northeast,married,3,keeping house,,,lower class,not very strong democrat,extremely liberal,,,oppose,should not be legal,very happy,,,can't be too careful,,not satisfied at all,,4,never,protestant,never,no doubts,no,word of god,no,sort of scientific,true,,sun around earth,true,false,false,true,true,true,500 get the drug; 500 don't,no,no,4,8
2018,71,35,male,white,high school,15,northeast,never married,0,keeping house,,,lower class,strong democrat,"moderate, middle of the road",clinton,,favor,should not be legal,pretty happy,,,most people can be trusted,,pretty well satisfied,,5,several times a year,catholic,several times a year,no doubts,no,ancient book,,,,,,,,,,,,,,,0,0
2018,72,37,male,black,associate/junior college,16,northeast,married,0,working full time,75,47317.5,working class,strong democrat,liberal,,,don't know,should not be legal,pretty happy,,,can't be too careful,,more or less satisfied,0,2,several times a month,protestant,less than once a year,believe with doubts,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,73,28,female,other,bachelor's,16,northeast,married,0,keeping house,,,working class,"independent (neither, no response)",slightly liberal,,favor,favor,,very happy,good,exciting,,no,more or less satisfied,,5,once or twice a week,none,never,higher power,no,ancient book,no,very scientific,true,true,earth around sun,false,don't know,true,true,true,true,500 get the drug; 500 don't,yes,yes,7,9
2018,74,42,female,white,graduate,20,northeast,married,2,working full time,45,22782.5,upper class,not very strong democrat,liberal,clinton,favor,oppose,should be legal,pretty happy,good,routine,most people can be trusted,no,pretty well satisfied,0,,,catholic,about once a month,"don't know, no way to find out",no,ancient book,,,,,,,,,,,,,,,0,0
2018,75,21,male,white,high school,14,northeast,never married,0,working full time,35,5257.5,middle class,other party,liberal,,favor,oppose,should be legal,pretty happy,fair,exciting,can't be too careful,no,not satisfied at all,5,,,none,never,"don't know, no way to find out",yes,inspired word,,,,,,,,,,,,,,,0,0
2018,76,33,female,black,associate/junior college,14,northeast,never married,2,working full time,32,26287.5,working class,"independent (neither, no response)",conservative,clinton,favor,favor,,very happy,excellent,routine,,no,more or less satisfied,0,1,never,protestant,never,no doubts,don't know,inspired word,no,not at all scientific,,,sun around earth,false,true,true,true,true,true,500 get the drug; 500 don't,no,no,4,7
2018,77,37,female,white,bachelor's,16,northeast,married,2,working full time,50,98140,middle class,"independent (neither, no response)","moderate, middle of the road",,favor,favor,don't know,very happy,excellent,routine,most people can be trusted,yes,pretty well satisfied,5,,,catholic,several times a year,believe sometimes,don't know,inspired word,,,,,,,,,,,,,,,0,0
2018,78,89,female,white,less than high school,8,northeast,widowed,3,keeping house,,,middle class,"independent (neither, no response)","moderate, middle of the road",,,don't know,don't know,pretty happy,,,can't be too careful,,more or less satisfied,,2,never,catholic,several times a year,no doubts,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,79,47,female,other,associate/junior college,14,northeast,married,1,keeping house,,,middle class,"independent (neither, no response)","moderate, middle of the road",,favor,favor,don't know,pretty happy,good,routine,can't be too careful,no,more or less satisfied,,,,,don't know,,,,,,,,,,,,,,,,,,0,0
2018,80,63,female,other,less than high school,,northeast,married,,,,,,,,,,,don't know,very happy,,,depends,,more or less satisfied,,3,never,,don't know,,don't know,,,,,,,,,,,,,,,,0,0
2018,81,71,female,black,bachelor's,16,northeast,married,0,retired,,,middle class,"independent, close to democrat",liberal,clinton,favor,oppose,,pretty happy,good,routine,,yes,more or less satisfied,,5,never,protestant,never,higher power,don't know,ancient book,yes,not at all scientific,true,true,earth around sun,false,false,true,false,true,true,500 get the drug; 500 don't,no,yes,9,9
2018,82,42,female,black,high school,12,northeast,married,1,working full time,40,,working class,not very strong democrat,,clinton,favor,oppose,,pretty happy,good,,,no,not satisfied at all,3,2,never,,don't know,no doubts,,,yes,sort of scientific,false,false,don't know,true,don't know,false,don't know,don't know,don't know,500 get the drug; 500 don't,no,yes,0,9
2018,83,37,female,other,high school,12,northeast,divorced,1,working full time,40,11391.25,working class,not very strong democrat,"moderate, middle of the road",,,oppose,should be legal,very happy,,,can't be too careful,,more or less satisfied,3,2,about once a year,catholic,less than once a year,believe with doubts,yes,inspired word,yes,sort of scientific,true,,earth around sun,true,true,false,false,true,true,all 1000 get the drug,yes,yes,5,8
2018,84,40,female,white,high school,13,northeast,married,4,working full time,40,31544.999999999996,working class,not very strong democrat,extremely conservative,clinton,favor,oppose,,very happy,excellent,routine,,no,more or less satisfied,0,1,never,catholic,2-3 times a month,higher power,no,word of god,yes,not at all scientific,,,earth around sun,false,false,true,true,true,true,500 get the drug; 500 don't,no,yes,6,7
2018,85,70,male,white,high school,12,northeast,separated,4,working part time,20,14896.249999999998,working class,not very strong republican,conservative,clinton,favor,favor,should be legal,pretty happy,good,routine,can't be too careful,yes,more or less satisfied,0,,,catholic,never,no doubts,no,inspired word,,,,,,,,,,,,,,,0,0
2018,86,28,male,black,bachelor's,17,northeast,never married,0,working full time,42,31544.999999999996,middle class,not very strong democrat,slightly liberal,clinton,,oppose,,pretty happy,,,most people can be trusted,,more or less satisfied,0,0,about once a month,none,never,higher power,don't know,inspired word,yes,sort of scientific,,,earth around sun,don't know,don't know,true,don't know,don't know,don't know,500 get the drug; 500 don't,no,no,2,7
2018,87,53,female,other,high school,13,northeast,never married,2,working full time,40,350.5,lower class,strong democrat,liberal,clinton,,oppose,should not be legal,pretty happy,,,can't be too careful,,not satisfied at all,0,3,about once a year,protestant,every week,no doubts,yes,word of god,,,,,,,,,,,,,,,0,0
