species,island,beak_depth_mm,beak_length_mm,body_mass_g,wing_length_mm,sex
magnirostris,Santa Cruz,11.51,14.9,17.49,71.49,male
fuliginosa,Fernandina,8.77,8.22,16.9,63.36,female
fuliginosa,Santa Cruz,10.33,9.53,22.06,74.17,female
fortis,Santa Cruz,13.9,8.93,19.0,67.47,male
magnirostris,Santa Cruz,8.81,11.27,20.02,70.71,male
scandens,Fernandina,11.17,13.15,17.78,69.29,female
fuliginosa,Fernandina,12.33,9.57,21.63,65.99,female
magnirostris,Fernandina,11.89,8.69,18.9,78.83,male
magnirostris,Santa Cruz,10.23,11.07,17.49,64.08,male
magnirostris,Santa Cruz,7.67,7.93,13.76,70.56,male
fuliginosa,Santa Cruz,10.0,11.6,20.02,63.48,female
difficilis,Isabela,14.07,8.54,17.85,68.06,female
magnirostris,Isabela,11.74,12.38,15.67,73.28,male
scandens,Fernandina,10.27,9.98,16.2,71.93,male
magnirostris,Isabela,11.02,11.92,13.47,71.33,female
magnirostris,Santa Cruz,11.78,12.47,20.37,65.71,male
magnirostris,Isabela,14.91,9.94,19.28,72.51,male
scandens,Santa Cruz,11.25,11.87,14.49,72.44,male
difficilis,Santa Cruz,5.46,11.42,11.77,73.85,female
fortis,Isabela,12.62,10.29,20.82,57.81,female
fuliginosa,Isabela,10.4,10.56,22.03,77.53,female
scandens,Santa Cruz,12.04,11.98,19.09,65.95,female
fuliginosa,Isabela,10.33,11.65,24.93,66.54,male
difficilis,Isabela,9.11,12.05,16.46,59.68,female
magnirostris,Fernandina,11.89,10.21,17.34,70.46,male
difficilis,Santa Cruz,8.54,14.54,18.98,68.75,female
difficilis,Santa Cruz,10.51,13.94,17.94,65.36,female
magnirostris,Isabela,9.46,10.71,20.14,63.84,female
fortis,Isabela,10.309999999999999,9.61,28.57,66.45,female
difficilis,Santa Cruz,11.39,12.62,19.18,70.59,male
difficilis,Santa Cruz,15.5,10.4,25.83,70.64,male
fuliginosa,Santa Cruz,11.21,11.2,21.08,76.19,female
fortis,Santa Cruz,13.44,12.83,28.39,62.1,female
magnirostris,Fernandina,8.01,8.14,16.88,67.48,female
difficilis,Santa Cruz,11.19,10.93,11.86,64.3,female
difficilis,Fernandina,11.02,10.1,18.43,77.33,male
magnirostris,Santa Cruz,10.69,10.84,12.99,70.8,female
scandens,Fernandina,12.63,13.16,23.9,64.29,female
scandens,Santa Cruz,8.98,10.67,23.91,64.41,female
fortis,Santa Cruz,13.01,12.13,19.23,55.57,male
magnirostris,Fernandina,10.42,10.37,19.53,60.86,female
scandens,Isabela,11.3,12.41,18.05,66.01,female
fortis,Santa Cruz,17.16,11.06,19.02,67.81,male
fortis,Santa Cruz,9.8,11.5,21.22,78.41,female
fuliginosa,Fernandina,8.08,7.35,20.92,68.87,female
scandens,Isabela,10.97,9.4,10.76,77.95,male
fortis,Fernandina,13.54,11.93,22.31,74.69,female
difficilis,Santa Cruz,9.68,8.84,10.03,83.06,male
fortis,Isabela,13.8,10.5,22.67,76.71,female
scandens,Fernandina,9.91,12.58,26.13,71.27,female
fortis,Isabela,13.33,11.58,26.01,74.98,male
fuliginosa,Isabela,10.59,10.3,23.69,69.95,male
magnirostris,Isabela,9.68,6.67,26.34,65.84,female
fuliginosa,Fernandina,11.17,9.34,23.44,65.93,female
fortis,Santa Cruz,11.01,11.32,25.37,66.56,male
fortis,Isabela,14.63,11.22,22.67,81.55,male
fuliginosa,Santa Cruz,11.89,11.42,20.18,64.9,female
magnirostris,Santa Cruz,13.28,11.86,16.66,75.13,female
fuliginosa,Fernandina,10.13,9.0,16.79,75.63,female
magnirostris,Fernandina,13.26,13.14,16.79,67.12,male
difficilis,Santa Cruz,11.05,8.65,19.22,67.35,male
scandens,Santa Cruz,10.21,9.27,21.11,70.25,male
fuliginosa,Fernandina,13.6,9.64,13.07,60.86,female
scandens,Fernandina,14.19,11.83,18.78,73.32,female
fuliginosa,Isabela,12.17,12.48,18.3,63.99,male
magnirostris,Fernandina,11.17,9.04,16.41,59.1,male
difficilis,Santa Cruz,10.75,12.77,22.85,59.22,male
fuliginosa,Santa Cruz,12.27,11.04,15.46,66.7,male
fuliginosa,Santa Cruz,8.4,12.95,18.97,65.22,male
fuliginosa,Isabela,12.99,9.33,22.79,82.46,male
scandens,Santa Cruz,9.17,11.03,16.36,64.44,male
fuliginosa,Santa Cruz,12.93,10.44,24.81,64.4,female
fortis,Isabela,14.65,9.58,20.45,75.42,male
magnirostris,Santa Cruz,10.03,11.22,23.43,74.92,male
fortis,Fernandina,13.53,10.51,25.54,74.36,male
difficilis,Santa Cruz,13.39,10.03,16.82,58.35,male
fuliginosa,Santa Cruz,10.84,12.71,8.52,54.79,male
fuliginosa,Fernandina,9.36,11.89,21.38,59.63,male
scandens,Santa Cruz,12.94,12.27,24.51,70.44,male
fuliginosa,Fernandina,8.94,8.28,19.4,65.96,female
magnirostris,Fernandina,10.08,12.53,22.2,60.77,female
fortis,Isabela,11.32,10.69,18.16,74.54,male
difficilis,Santa Cruz,7.69,10.39,11.55,68.65,female
difficilis,Fernandina,11.37,10.41,11.76,72.81,male
fortis,Fernandina,12.72,11.75,23.98,68.91,male
magnirostris,Isabela,10.2,8.51,18.57,74.36,female
fortis,Santa Cruz,11.72,10.22,28.56,69.11,female
difficilis,Fernandina,8.84,9.79,18.84,68.88,female
magnirostris,Isabela,14.76,15.21,28.17,67.86,male
fuliginosa,Santa Cruz,11.91,8.99,19.79,79.44,female
magnirostris,Isabela,14.05,9.83,17.0,66.33,male
difficilis,Santa Cruz,12.96,10.88,20.79,67.91,male
fortis,Santa Cruz,12.65,11.52,22.41,70.44,female
magnirostris,Isabela,12.43,9.01,18.12,76.91,male
fuliginosa,Isabela,10.95,11.44,22.12,75.93,male
scandens,Santa Cruz,12.71,11.56,13.67,81.61,male
difficilis,Isabela,11.84,13.41,24.76,73.02,male
difficilis,Isabela,11.68,14.63,14.42,63.85,female
magnirostris,Fernandina,13.15,11.26,23.26,64.52,male
difficilis,Isabela,8.18,9.34,21.46,69.06,male
fortis,Isabela,12.08,10.54,21.94,62.05,female
scandens,Isabela,12.56,10.51,22.44,72.69,female
fortis,Santa Cruz,11.63,11.74,25.4,72.29,female
fuliginosa,Santa Cruz,10.14,9.59,17.63,59.41,female
fortis,Fernandina,12.04,9.02,24.07,75.71,male
fuliginosa,Santa Cruz,11.06,10.73,20.35,63.3,female
fortis,Santa Cruz,14.43,12.73,17.42,67.51,female
difficilis,Isabela,12.24,9.31,15.91,74.51,male
fuliginosa,Isabela,14.11,11.72,22.68,76.75,female
scandens,Isabela,11.06,12.26,17.14,69.69,female
fortis,Fernandina,15.12,10.02,25.04,62.89,female
fortis,Santa Cruz,12.17,12.93,13.4,58.89,female
scandens,Fernandina,10.13,11.91,20.21,61.84,male
difficilis,Fernandina,10.39,10.04,21.85,67.72,female
scandens,Isabela,8.78,12.95,20.17,68.79,female
scandens,Fernandina,9.72,12.85,21.72,64.16,male
difficilis,Isabela,9.45,10.7,21.37,64.87,female
difficilis,Isabela,7.52,10.49,19.53,66.87,male
fuliginosa,Fernandina,12.08,10.59,7.69,62.89,female
difficilis,Santa Cruz,10.49,11.23,21.01,71.43,female
fuliginosa,Isabela,11.94,10.51,15.72,68.38,female
fuliginosa,Fernandina,7.95,13.1,24.56,66.37,female
fortis,Isabela,14.1,7.26,21.93,67.61,male
fortis,Isabela,15.66,9.2,21.1,69.28,female
magnirostris,Isabela,10.43,9.05,10.08,67.51,male
difficilis,Santa Cruz,8.87,11.03,11.95,61.24,female
difficilis,Santa Cruz,14.03,13.33,13.79,62.65,male
magnirostris,Santa Cruz,11.06,13.65,19.84,69.85,female
fuliginosa,Isabela,13.06,13.72,17.98,69.02,male
fortis,Santa Cruz,10.77,11.92,24.88,69.68,female
scandens,Isabela,9.37,11.38,18.52,68.48,female
fortis,Fernandina,12.05,13.65,17.27,69.31,female
fuliginosa,Santa Cruz,12.43,12.57,12.6,74.51,female
fuliginosa,Fernandina,9.16,8.89,21.66,66.78,female
fortis,Santa Cruz,14.48,13.76,27.69,55.83,female
difficilis,Santa Cruz,12.32,12.15,16.38,67.81,female
scandens,Fernandina,11.85,14.41,16.11,64.0,female
scandens,Fernandina,12.69,12.83,21.11,62.11,male
magnirostris,Fernandina,7.8,11.04,24.48,61.83,male
fuliginosa,Santa Cruz,8.48,10.4,13.09,77.04,female
fuliginosa,Santa Cruz,9.52,12.61,19.5,57.71,male
fortis,Fernandina,15.42,10.63,23.41,72.49,male
fuliginosa,Fernandina,11.92,13.21,13.24,63.34,female
scandens,Fernandina,9.98,11.67,30.02,54.04,male
scandens,Santa Cruz,10.37,11.26,16.71,67.4,male
fortis,Fernandina,16.939999999999998,11.26,22.2,55.05,female
fortis,Fernandina,17.119999999999997,12.32,26.28,63.96,male
magnirostris,Santa Cruz,8.79,12.85,18.14,65.06,female
fortis,Fernandina,14.85,12.2,22.38,61.15,female
fuliginosa,Santa Cruz,10.11,9.63,17.87,77.9,male
difficilis,Santa Cruz,12.54,12.7,16.85,60.89,female
magnirostris,Fernandina,12.47,13.49,15.34,61.94,male
difficilis,Fernandina,12.63,8.69,14.43,59.93,female
difficilis,Isabela,12.27,9.15,15.23,64.29,female
magnirostris,Fernandina,8.81,10.2,21.75,72.06,male
magnirostris,Fernandina,13.74,11.87,22.05,67.31,female
scandens,Fernandina,11.39,11.32,16.74,70.21,female
magnirostris,Santa Cruz,12.44,10.04,21.84,57.22,male
magnirostris,Fernandina,11.5,9.2,22.84,78.1,female
scandens,Isabela,10.31,10.59,15.2,60.07,female
fuliginosa,Fernandina,7.42,13.72,16.52,59.72,female
scandens,Fernandina,11.12,10.49,19.96,70.98,male
fuliginosa,Santa Cruz,7.81,11.26,13.9,69.49,female
magnirostris,Santa Cruz,10.51,10.05,20.93,67.86,male
fuliginosa,Santa Cruz,10.19,14.17,19.27,74.56,female
fuliginosa,Fernandina,9.07,14.0,23.49,58.81,female
fuliginosa,Santa Cruz,10.92,13.68,15.34,63.96,male
difficilis,Fernandina,10.28,7.81,23.08,58.9,female
fortis,Fernandina,12.11,10.56,22.68,56.7,female
difficilis,Fernandina,10.0,10.59,17.14,71.15,male
magnirostris,Santa Cruz,11.12,8.7,13.18,74.34,male
fuliginosa,Isabela,9.78,9.85,15.04,63.23,male
scandens,Santa Cruz,12.44,13.91,10.47,61.95,male
fuliginosa,Santa Cruz,10.87,11.91,20.16,70.8,male
difficilis,Fernandina,9.31,15.08,14.2,60.66,female
difficilis,Isabela,9.92,14.04,14.94,62.52,male
difficilis,Santa Cruz,7.13,13.17,14.19,72.95,female
fuliginosa,Santa Cruz,11.79,12.73,16.86,69.73,female
magnirostris,Fernandina,7.07,12.75,21.5,79.67,male
scandens,Fernandina,9.71,10.16,21.16,55.92,male
fortis,Santa Cruz,14.68,13.25,33.46,74.84,female
difficilis,Fernandina,10.82,9.76,16.3,69.77,male
magnirostris,Fernandina,10.4,10.54,25.53,72.17,male
magnirostris,Santa Cruz,10.3,10.98,19.07,66.95,male
fuliginosa,Santa Cruz,10.41,13.53,20.34,70.48,male
fortis,Fernandina,11.78,13.15,21.52,73.69,female
fuliginosa,Fernandina,11.66,12.31,15.36,70.44,male
scandens,Fernandina,7.56,11.08,22.28,72.2,female
scandens,Fernandina,5.74,10.41,22.07,73.43,female
fuliginosa,Santa Cruz,14.5,6.98,14.69,65.21,female
magnirostris,Santa Cruz,10.23,14.14,18.47,78.68,male
fuliginosa,Isabela,9.78,9.2,8.74,65.06,female
difficilis,Isabela,11.13,7.51,16.82,73.14,female
fuliginosa,Fernandina,13.47,12.44,20.66,62.65,female
fortis,Fernandina,10.3,9.53,24.93,65.11,male
fuliginosa,Santa Cruz,10.53,8.04,23.31,68.31,male
fortis,Isabela,11.88,10.13,24.38,71.14,male
magnirostris,Fernandina,9.18,9.88,11.3,69.48,male
scandens,Isabela,9.06,9.94,16.18,70.45,female
difficilis,Santa Cruz,11.24,12.14,13.03,62.99,male
scandens,Fernandina,10.6,9.72,15.99,54.87,female
scandens,Santa Cruz,6.87,9.87,16.69,80.76,male
fuliginosa,Isabela,6.58,11.24,18.99,65.73,female
fortis,Isabela,14.44,10.3,26.18,66.16,male
fortis,Santa Cruz,11.69,13.56,24.86,76.68,male
fuliginosa,Isabela,10.36,12.12,22.75,73.08,male
scandens,Isabela,13.6,9.63,17.2,69.07,male
fuliginosa,Fernandina,9.93,16.48,15.43,72.22,female
fuliginosa,Santa Cruz,6.58,13.29,19.52,63.74,male
fortis,Isabela,12.4,8.78,26.72,62.66,female
fuliginosa,Santa Cruz,7.67,16.93,19.5,60.38,female
fortis,Santa Cruz,11.58,9.95,23.19,73.32,male
fuliginosa,Santa Cruz,8.94,8.46,17.41,70.29,female
fuliginosa,Fernandina,4.6,9.25,17.04,67.52,female
magnirostris,Fernandina,12.63,10.06,13.59,62.92,female
fortis,Isabela,16.92,12.53,17.0,69.99,female
fortis,Fernandina,10.01,10.66,19.82,67.24,female
magnirostris,Fernandina,8.04,13.02,24.85,65.21,male
fuliginosa,Santa Cruz,12.42,13.81,17.39,63.64,female
difficilis,Santa Cruz,10.06,10.49,21.6,69.1,female
scandens,Isabela,11.85,13.0,13.22,70.31,female
magnirostris,Santa Cruz,14.06,13.5,23.08,74.29,male
magnirostris,Fernandina,12.18,10.64,20.34,68.82,male
fortis,Isabela,12.06,11.0,18.73,66.06,female
difficilis,Isabela,10.46,14.76,18.6,66.79,male
scandens,Fernandina,10.22,11.61,19.16,71.08,female
fortis,Fernandina,10.74,11.74,19.25,71.92,male
fuliginosa,Santa Cruz,11.14,11.47,9.53,68.94,female
fortis,Santa Cruz,9.190000000000001,8.05,27.58,58.52,male
magnirostris,Fernandina,10.43,12.15,20.73,65.1,male
scandens,Santa Cruz,11.89,9.75,17.06,63.57,female
scandens,Isabela,10.34,15.91,19.75,65.82,male
fortis,Fernandina,13.08,10.9,29.85,66.06,female
fuliginosa,Isabela,10.86,10.93,13.08,70.22,male
magnirostris,Isabela,7.75,13.9,16.09,70.22,male
fuliginosa,Santa Cruz,10.59,11.77,23.32,60.41,female
difficilis,Isabela,12.09,10.47,18.09,67.64,female
magnirostris,Fernandina,11.3,7.58,22.1,78.37,male
fuliginosa,Fernandina,6.99,13.84,18.08,62.41,male
scandens,Fernandina,10.01,8.5,11.87,60.62,female
fuliginosa,Fernandina,12.8,13.9,12.87,64.58,male
scandens,Isabela,12.8,8.86,18.57,76.89,male
fuliginosa,Isabela,12.68,12.74,14.98,78.42,female
scandens,Santa Cruz,13.44,11.81,16.98,59.93,male
difficilis,Santa Cruz,7.36,11.61,19.35,68.05,male
fuliginosa,Santa Cruz,7.12,12.0,11.72,69.21,female
scandens,Isabela,8.0,11.63,20.77,73.68,male
difficilis,Fernandina,10.65,10.73,11.02,58.09,male
magnirostris,Isabela,8.41,12.84,25.43,78.81,female
magnirostris,Isabela,11.87,11.26,16.76,70.44,female
magnirostris,Isabela,9.1,11.63,21.02,70.16,female
fortis,Fernandina,11.97,12.0,23.98,63.43,male
fortis,Santa Cruz,11.47,13.9,22.16,78.16,female
fuliginosa,Fernandina,12.84,11.11,16.38,65.26,female
fuliginosa,Santa Cruz,11.25,9.58,19.07,66.97,male
scandens,Santa Cruz,10.62,12.48,17.7,71.54,female
fortis,Santa Cruz,10.71,11.9,18.27,68.18,male
fortis,Fernandina,13.93,12.63,29.56,72.86,male
difficilis,Santa Cruz,15.46,9.57,17.39,68.4,female
difficilis,Santa Cruz,11.6,12.23,24.84,66.19,female
fortis,Santa Cruz,16.22,12.62,22.92,71.57,female
fortis,Fernandina,15.82,8.96,26.42,61.84,female
magnirostris,Fernandina,12.35,13.1,15.59,65.27,female
magnirostris,Santa Cruz,9.2,10.0,12.85,74.61,male
fortis,Santa Cruz,12.31,11.65,23.34,69.39,female
magnirostris,Santa Cruz,12.5,12.0,9.03,71.96,female
magnirostris,Fernandina,7.45,12.97,16.65,71.58,male
