year,id,age,sex,race,degree,educ,region,marital,childs,wrkstat,hrs1,income_2000dollars,class,party,political_views,pres20,gunlaw,cappun,cannabis_legal,happy,health,life,trust,satfin,mental_health_bad_days,relig,attend,god,postlife,bible
2022,23,65,male,white,bachelor's,16,northeast,widowed,0,retired,,20572.5,working class,strong republican,conservative,trump,favor,favor,,not too happy,good,routine,,more or less satisfied,,catholic,less than once a year,,,
2022,24,60,female,black,associate/junior college,14,northeast,married,3,working full time,35,28485,working class,"independent, close to democrat",slightly liberal,biden,favor,oppose,,pretty happy,good,routine,,not satisfied at all,2,none,never,,,
2022,25,28,male,white,high school,13,northeast,never married,2,working part time,25,316.5,middle class,other party,"moderate, middle of the road",trump,favor,favor,,very happy,fair,exciting,,more or less satisfied,0,none,about once or twice a year,,,
2022,26,82,female,white,high school,12,northeast,widowed,3,retired,,,working class,strong republican,extremely conservative,trump,favor,favor,,pretty happy,good,routine,,not satisfied at all,,protestant,every week,,,
2022,27,59,male,other,high school,12,northeast,married,1,working full time,40,63300,working class,strong democrat,liberal,biden,favor,favor,should be legal,pretty happy,excellent,exciting,most people can be trusted,more or less satisfied,0,catholic,never,higher power,yes,inspired word
2022,28,86,female,black,high school,12,northeast,widowed,0,retired,,,working class,strong democrat,"moderate, middle of the road",biden,favor,oppose,,pretty happy,good,routine,,not satisfied at all,,protestant,about once a month,,,
2022,29,36,male,other,bachelor's,16,northeast,married,1,working full time,0,,middle class,not very strong democrat,"moderate, middle of the road",biden,favor,oppose,should be legal,not too happy,fair,exciting,can't be too careful,not satisfied at all,14,catholic,every week,no doubts,yes,inspired word
2022,30,79,female,white,high school,12,northeast,married,2,retired,,,middle class,strong republican,extremely conservative,trump,,favor,should not be legal,not too happy,good,,can't be too careful,pretty well satisfied,,protestant,never,no doubts,,inspired word
2022,31,65,male,other,high school,14,northeast,married,2,working full time,45,52222.5,working class,"independent (neither, no response)","moderate, middle of the road",biden,oppose,oppose,,pretty happy,good,routine,,not satisfied at all,0,none,never,don't believe,,
2022,32,,don't know,,graduate,12,northeast,never married,8,,,,upper class,other party,"moderate, middle of the road",,favor,oppose,,not too happy,good,routine,,not satisfied at all,,orthodox-christian,,no doubts,,
2022,33,76,female,white,high school,12,northeast,divorced,4,retired,,,lower class,"independent (neither, no response)",extremely liberal,biden,,favor,should be legal,pretty happy,poor,,can't be too careful,not satisfied at all,,none,never,don't believe,yes,ancient book
2022,34,72,female,white,bachelor's,16,northeast,divorced,2,retired,,,working class,"independent, close to democrat",slightly liberal,biden,favor,oppose,should not be legal,pretty happy,poor,exciting,can't be too careful,pretty well satisfied,,other,every week,no doubts,yes,inspired word
2022,35,62,female,white,high school,13,northeast,widowed,1,keeping house,,,lower class,strong democrat,"moderate, middle of the road",biden,favor,oppose,,pretty happy,good,routine,,not satisfied at all,,none,never,,yes,ancient book
2022,36,46,male,white,associate/junior college,14,northeast,never married,0,working part time,28,10286.25,working class,not very strong democrat,slightly liberal,trump,favor,favor,,not too happy,fair,exciting,,not satisfied at all,0,catholic,about once or twice a year,,no,ancient book
2022,37,84,male,white,associate/junior college,15,northeast,widowed,2,retired,,,middle class,other party,extremely conservative,,,oppose,should be legal,pretty happy,poor,,most people can be trusted,more or less satisfied,,catholic,every week,no doubts,yes,inspired word
2022,38,79,male,white,high school,12,northeast,married,2,retired,,,working class,"independent, close to republican","moderate, middle of the road",trump,,,,pretty happy,good,,,not satisfied at all,,catholic,several times a year,no doubts,,
2022,39,38,female,white,bachelor's,16,northeast,married,2,working full time,40,52222.5,middle class,"independent (neither, no response)","moderate, middle of the road",biden,favor,favor,,pretty happy,fair,routine,,more or less satisfied,1,catholic,about once or twice a year,,,
2022,40,64,male,white,high school,13,northeast,divorced,2,working full time,50,75960,working class,not very strong republican,"moderate, middle of the road",biden,favor,favor,should be legal,pretty happy,excellent,exciting,can't be too careful,not satisfied at all,10,none,about once or twice a year,higher power,don't know,inspired word
2022,41,49,female,white,bachelor's,16,northeast,married,6,working full time,36,88620,working class,not very strong republican,"moderate, middle of the road",trump,,favor,should be legal,pretty happy,good,,depends,more or less satisfied,1,jewish,2-3 times a month,no doubts,no,word of god
2022,42,65,female,white,high school,15,northeast,widowed,0,retired,,,working class,"independent, close to democrat",liberal,,favor,favor,,pretty happy,good,routine,,more or less satisfied,,catholic,2-3 times a month,believe sometimes,,
2022,43,29,female,other,bachelor's,16,northeast,never married,0,"unemployed, laid off, looking for work",,7121.25,middle class,not very strong democrat,liberal,,,oppose,should be legal,not too happy,good,,depends,not satisfied at all,,protestant,several times a year,believe with doubts,yes,inspired word
2022,44,30,male,black,graduate,18,northeast,never married,0,working full time,40,28485,working class,"independent (neither, no response)","moderate, middle of the road",biden,favor,oppose,,pretty happy,good,exciting,,not satisfied at all,0,other,several times a week,,yes,inspired word
2022,45,30,female,black,high school,14,northeast,never married,1,keeping house,,,lower class,"independent (neither, no response)","moderate, middle of the road",,oppose,oppose,,pretty happy,fair,routine,,not satisfied at all,,other,several times a year,higher power,,
2022,46,50,female,black,bachelor's,17,northeast,divorced,1,working full time,89,75960,working class,"independent, close to democrat",liberal,biden,favor,oppose,should be legal,not too happy,good,exciting,most people can be trusted,more or less satisfied,5,none,about once or twice a year,higher power,yes,inspired word
2022,47,32,female,black,high school,12,northeast,never married,3,working full time,40,28485,working class,"independent (neither, no response)",slightly liberal,,favor,oppose,,pretty happy,good,exciting,,not satisfied at all,0,none,about once or twice a year,,yes,ancient book
2022,48,52,male,white,bachelor's,16,northeast,married,3,other,,163572.71343,middle class,strong republican,conservative,trump,,favor,,pretty happy,good,,,more or less satisfied,,catholic,nearly every week,believe with doubts,,
2022,49,89,male,white,graduate,19,northeast,married,4,retired,,,working class,not very strong democrat,slightly liberal,biden,favor,oppose,,pretty happy,good,exciting,,more or less satisfied,,catholic,about once or twice a year,,,
2022,50,70,female,white,high school,14,northeast,married,3,keeping house,,101280,middle class,"independent, close to republican","moderate, middle of the road",biden,favor,oppose,,very happy,good,exciting,,pretty well satisfied,,catholic,nearly every week,no doubts,,
2022,51,59,female,white,bachelor's,16,northeast,married,4,working full time,38,23737.5,middle class,strong democrat,liberal,biden,favor,oppose,,very happy,good,routine,,pretty well satisfied,0,protestant,about once or twice a year,"don't know, no way to find out",,
2022,52,46,male,other,bachelor's,16,northeast,married,2,working full time,40,163572.71343,middle class,not very strong democrat,liberal,,oppose,oppose,,very happy,good,exciting,,more or less satisfied,0,none,never,,,
2022,53,43,female,other,graduate,16,northeast,married,0,working full time,50,,middle class,"independent, close to republican",slightly conservative,don't know,favor,oppose,,pretty happy,fair,exciting,,pretty well satisfied,1,hinduism,less than once a year,believe sometimes,,
2022,54,60,male,white,high school,12,northeast,married,5,working full time,35,63300,working class,strong democrat,slightly liberal,biden,,oppose,,very happy,excellent,,,more or less satisfied,0,catholic,never,"don't know, no way to find out",,
2022,55,38,male,white,high school,12,northeast,married,1,working full time,55,163572.71343,middle class,not very strong democrat,liberal,,favor,favor,should be legal,very happy,good,exciting,most people can be trusted,pretty well satisfied,3,jewish,never,"don't know, no way to find out",no,ancient book
2022,56,66,male,white,high school,14,northeast,married,3,keeping house,,,middle class,"independent, close to republican","moderate, middle of the road",,favor,oppose,,not too happy,poor,exciting,,more or less satisfied,,jewish,several times a year,,,
2022,57,28,female,black,high school,14,northeast,divorced,3,working full time,40,20572.5,working class,"independent, close to democrat",don't know,,,don't know,should be legal,don't know,good,,depends,not satisfied at all,1,none,never,higher power,yes,other (vol)
2022,58,20,female,black,high school,13,northeast,never married,1,keeping house,,4114.5,lower class,not very strong democrat,liberal,biden,favor,favor,,very happy,excellent,exciting,,not satisfied at all,,don't know,never,,no,ancient book
2022,59,62,female,white,high school,14,northeast,never married,4,retired,,,middle class,strong democrat,slightly conservative,biden,favor,favor,should not be legal,not too happy,good,routine,can't be too careful,not satisfied at all,,catholic,every week,no doubts,yes,word of god
2022,60,36,female,white,less than high school,12,northeast,never married,1,"unemployed, laid off, looking for work",,,lower class,not very strong democrat,slightly liberal,,favor,oppose,,not too happy,fair,routine,,not satisfied at all,,catholic,several times a year,,yes,inspired word
2022,61,49,female,white,less than high school,10,northeast,never married,1,"unemployed, laid off, looking for work",,17407.5,middle class,strong democrat,"moderate, middle of the road",trump,favor,oppose,don't know,not too happy,fair,routine,can't be too careful,not satisfied at all,,,,no doubts,yes,inspired word
2022,62,30,female,white,high school,12,northeast,separated,3,working part time,18,,working class,"independent (neither, no response)",conservative,,favor,oppose,should not be legal,pretty happy,good,routine,can't be too careful,not satisfied at all,30,other,every week,no doubts,no,word of god
2022,63,62,female,other,less than high school,9,northeast,divorced,3,retired,,,lower class,strong republican,conservative,trump,,oppose,should not be legal,very happy,good,,can't be too careful,not satisfied at all,,none,never,no doubts,yes,ancient book
2022,64,70,female,,less than high school,4,northeast,divorced,2,retired,,,working class,not very strong democrat,slightly conservative,,favor,favor,should not be legal,very happy,fair,routine,can't be too careful,more or less satisfied,,catholic,several times a year,no doubts,yes,word of god
2022,65,73,female,other,less than high school,8,northeast,widowed,3,retired,,5697,working class,,extremely conservative,trump,favor,oppose,should not be legal,not too happy,poor,routine,can't be too careful,more or less satisfied,,orthodox-christian,several times a year,no doubts,don't know,word of god
2022,66,34,female,black,less than high school,12,northeast,never married,8,working full time,40,,lower class,"independent (neither, no response)",extremely liberal,,,favor,,not too happy,excellent,,,pretty well satisfied,,none,never,,,
2022,67,47,female,white,bachelor's,16,northeast,never married,1,working part time,20,20572.5,working class,"independent (neither, no response)","moderate, middle of the road",biden,favor,oppose,,not too happy,fair,exciting,,more or less satisfied,0,none,never,no doubts,,
2022,68,47,female,white,high school,15,northeast,separated,4,working part time,8,,middle class,"independent, close to democrat",extremely liberal,,favor,oppose,,not too happy,good,exciting,,more or less satisfied,,catholic,2-3 times a month,,yes,word of god
2022,69,58,female,black,bachelor's,17,northeast,divorced,5,working full time,60,42727.5,middle class,not very strong democrat,slightly liberal,biden,favor,don't know,,pretty happy,fair,dull,,more or less satisfied,0,other,several times a year,,yes,word of god
2022,70,82,female,black,high school,12,northeast,divorced,2,retired,,,working class,not very strong democrat,"moderate, middle of the road",biden,,favor,should not be legal,not too happy,good,,can't be too careful,more or less satisfied,,other,less than once a year,no doubts,yes,word of god
2022,71,67,male,black,high school,12,northeast,widowed,2,working full time,40,,middle class,strong democrat,"moderate, middle of the road",,favor,oppose,,pretty happy,good,routine,,more or less satisfied,0,other,2-3 times a month,,yes,inspired word
2022,72,41,male,black,high school,14,northeast,separated,0,working full time,40,63300,working class,"independent (neither, no response)","moderate, middle of the road",,favor,favor,,pretty happy,good,exciting,,more or less satisfied,0,catholic,less than once a year,,,
2022,73,32,female,black,bachelor's,16,northeast,never married,0,working full time,38,,lower class,not very strong democrat,"moderate, middle of the road",biden,,oppose,should be legal,pretty happy,fair,,can't be too careful,not satisfied at all,5,protestant,about once or twice a year,no doubts,yes,inspired word
2022,74,65,female,black,less than high school,9,northeast,divorced,3,retired,,15033.75,working class,not very strong democrat,don't know,biden,favor,oppose,,pretty happy,good,exciting,,not satisfied at all,,protestant,2-3 times a month,,yes,word of god
2022,75,57,female,black,graduate,18,northeast,never married,0,other,,,lower class,strong democrat,liberal,biden,favor,oppose,,not too happy,poor,routine,,not satisfied at all,,catholic,every week,,,
2022,76,55,male,black,high school,12,northeast,divorced,4,working full time,37,34815,lower class,strong democrat,don't know,biden,,favor,should be legal,not too happy,fair,,can't be too careful,more or less satisfied,0,orthodox-christian,about once or twice a year,no doubts,yes,ancient book
2022,77,86,female,black,less than high school,9,northeast,widowed,4,retired,,13451.25,working class,strong democrat,,biden,favor,favor,,not too happy,poor,routine,,more or less satisfied,,protestant,every week,no doubts,,
2022,78,31,female,black,bachelor's,20,northeast,never married,0,working full time,40,23737.5,working class,"independent (neither, no response)","moderate, middle of the road",biden,favor,oppose,,pretty happy,fair,routine,,more or less satisfied,0,none,never,,,
2022,79,62,female,white,high school,12,northeast,divorced,2,keeping house,,,working class,not very strong republican,slightly conservative,trump,,favor,don't know,very happy,excellent,,can't be too careful,more or less satisfied,,catholic,several times a year,believe with doubts,don't know,inspired word
2022,80,23,female,black,bachelor's,17,northeast,never married,0,working full time,40,,lower class,not very strong democrat,don't know,biden,,don't know,don't know,don't know,fair,,can't be too careful,not satisfied at all,,catholic,never,no doubts,yes,inspired word
2022,81,,female,black,bachelor's,16,northeast,married,0,working full time,40,34815,working class,strong democrat,"moderate, middle of the road",biden,,favor,,very happy,excellent,,,more or less satisfied,0,,,no doubts,,inspired word
2022,82,22,female,black,high school,14,northeast,never married,0,working full time,30,,working class,"independent, close to democrat",liberal,biden,favor,oppose,should be legal,not too happy,fair,routine,can't be too careful,not satisfied at all,30,none,about once or twice a year,higher power,yes,other (vol)
2022,83,44,male,white,associate/junior college,15,northeast,married,1,working full time,40,42727.5,middle class,strong democrat,extremely liberal,biden,,oppose,,pretty happy,good,,,pretty well satisfied,1,none,less than once a year,"don't know, no way to find out",,
2022,84,24,female,other,high school,15,northeast,never married,0,working full time,30,,working class,"independent (neither, no response)","moderate, middle of the road",,,favor,should be legal,pretty happy,good,,can't be too careful,not satisfied at all,5,other,never,no doubts,no,inspired word
2022,85,37,male,black,graduate,18,northeast,never married,2,in school,,,working class,strong democrat,liberal,biden,favor,oppose,,pretty happy,good,exciting,,not satisfied at all,,protestant,several times a year,,yes,inspired word
2022,86,79,male,white,graduate,20,northeast,divorced,4,working full time,80,63300,upper class,"independent, close to democrat",liberal,biden,favor,oppose,,pretty happy,excellent,exciting,,more or less satisfied,0,none,never,,no,ancient book
2022,87,22,male,black,high school,15,northeast,never married,0,in school,,,working class,not very strong democrat,liberal,biden,,oppose,should not be legal,very happy,fair,,can't be too careful,pretty well satisfied,,none,never,"don't know, no way to find out",yes,inspired word
2022,88,34,male,other,bachelor's,16,northeast,never married,0,keeping house,,42727.5,working class,"independent, close to democrat",slightly liberal,biden,favor,oppose,,not too happy,fair,exciting,,not satisfied at all,,none,never,,don't know,ancient book
2022,89,26,male,black,bachelor's,16,northeast,never married,0,working full time,40,75960,working class,strong democrat,liberal,biden,,oppose,,pretty happy,excellent,,,pretty well satisfied,0,christian,never,believe with doubts,,
2022,90,29,male,,graduate,17,northeast,never married,0,working full time,45,,upper class,strong democrat,liberal,biden,,oppose,should be legal,pretty happy,excellent,,most people can be trusted,pretty well satisfied,0,other,less than once a year,higher power,no,ancient book
2022,91,36,female,white,bachelor's,16,northeast,married,1,working full time,20,52222.5,middle class,"independent, close to democrat",liberal,biden,favor,oppose,,very happy,excellent,exciting,,pretty well satisfied,2,none,never,,no,ancient book
2022,92,29,female,black,high school,15,northeast,never married,0,working part time,25,,working class,"independent, close to democrat",slightly liberal,biden,favor,oppose,,pretty happy,excellent,exciting,,more or less satisfied,1,none,about once or twice a year,,yes,inspired word
2022,93,47,male,other,high school,12,northeast,never married,0,keeping house,,42727.5,lower class,strong republican,"moderate, middle of the road",trump,,favor,should be legal,not too happy,fair,,can't be too careful,not satisfied at all,,protestant,about once or twice a year,believe with doubts,yes,ancient book
2022,94,58,female,black,bachelor's,16,northeast,never married,0,working full time,40,34815,working class,"independent, close to democrat",liberal,biden,,oppose,should be legal,very happy,excellent,,can't be too careful,not satisfied at all,0,buddhism,every week,higher power,yes,ancient book
2022,95,46,male,white,bachelor's,16,northeast,never married,0,working part time,20,23737.5,middle class,strong democrat,liberal,biden,,oppose,,not too happy,good,,,more or less satisfied,0,none,never,don't believe,,
2022,96,29,female,other,bachelor's,16,northeast,never married,0,working full time,40,63300,working class,"independent, close to democrat",liberal,biden,favor,oppose,,pretty happy,good,exciting,,more or less satisfied,1,don't know,never,,yes,ancient book
2022,97,46,female,white,high school,16,northeast,married,2,working full time,45,34815,working class,not very strong republican,"moderate, middle of the road",trump,,oppose,,pretty happy,good,,,not satisfied at all,30,orthodox-christian,2-3 times a month,believe with doubts,,
2022,98,71,male,white,associate/junior college,14,northeast,separated,2,retired,,,working class,strong democrat,"moderate, middle of the road",biden,favor,oppose,,very happy,good,exciting,,more or less satisfied,,catholic,about once or twice a year,no doubts,,
2022,99,28,male,other,bachelor's,16,northeast,married,2,working full time,40,,working class,"independent (neither, no response)",slightly liberal,,,oppose,don't know,pretty happy,good,,can't be too careful,more or less satisfied,0,christian,several times a year,no doubts,yes,inspired word
2022,100,38,female,white,bachelor's,16,northeast,never married,0,working full time,40,,middle class,"independent, close to republican","moderate, middle of the road",trump,favor,favor,,pretty happy,good,exciting,,more or less satisfied,0,jewish,about once a month,,yes,don't know
2022,101,25,male,black,associate/junior college,14,northeast,never married,0,working full time,45,,working class,not very strong democrat,"moderate, middle of the road",,favor,favor,should be legal,pretty happy,good,exciting,can't be too careful,not satisfied at all,,none,never,higher power,yes,ancient book
2022,102,34,female,white,bachelor's,16,northeast,never married,0,working full time,40,42727.5,middle class,"independent (neither, no response)","moderate, middle of the road",biden,favor,oppose,,pretty happy,good,routine,,more or less satisfied,0,catholic,never,"don't know, no way to find out",,
2022,103,26,female,other,associate/junior college,14,northeast,never married,3,working part time,26,11868.75,working class,"independent, close to democrat","moderate, middle of the road",biden,favor,oppose,,pretty happy,good,routine,,more or less satisfied,12,catholic,several times a year,believe with doubts,,
2022,104,63,male,white,bachelor's,16,northeast,separated,1,working full time,40,20572.5,middle class,not very strong democrat,slightly conservative,trump,,favor,should not be legal,not too happy,fair,,can't be too careful,not satisfied at all,2,catholic,several times a week,no doubts,yes,inspired word
2022,105,82,male,white,bachelor's,16,northeast,married,1,working part time,8,,upper class,strong republican,conservative,trump,favor,favor,should not be legal,don't know,fair,exciting,can't be too careful,pretty well satisfied,0,protestant,about once or twice a year,believe with doubts,yes,word of god
2022,106,47,male,white,graduate,18,northeast,never married,0,working full time,33,75960,middle class,strong republican,conservative,trump,favor,favor,,pretty happy,good,routine,,pretty well satisfied,5,catholic,less than once a year,,,
2022,107,40,male,white,bachelor's,16,northeast,married,2,working full time,70,163572.71343,middle class,"independent (neither, no response)","moderate, middle of the road",,,favor,don't know,pretty happy,good,,can't be too careful,more or less satisfied,5,jewish,several times a year,believe with doubts,yes,inspired word
2022,108,71,male,other,bachelor's,17,northeast,married,0,retired,,,working class,"independent (neither, no response)","moderate, middle of the road",trump,favor,favor,,pretty happy,good,routine,,more or less satisfied,,protestant,2-3 times a month,no doubts,,
2022,109,63,female,white,high school,13,northeast,married,3,retired,,,middle class,strong republican,conservative,trump,,favor,,pretty happy,good,,,more or less satisfied,,catholic,about once or twice a year,believe with doubts,don't know,inspired word
2022,110,89,female,white,high school,15,northeast,widowed,7,keeping house,,,middle class,strong democrat,"moderate, middle of the road",biden,favor,favor,,pretty happy,fair,routine,,pretty well satisfied,,catholic,about once or twice a year,,,
2022,111,61,male,white,high school,16,northeast,married,3,working full time,60,63300,middle class,strong republican,conservative,trump,,favor,,very happy,good,,,more or less satisfied,0,catholic,every week,no doubts,,
2022,112,52,male,other,high school,12,northeast,married,3,"with a job, but not at work because of temporary illness, vacation, strike",,23737.5,working class,"independent, close to democrat",slightly liberal,,favor,favor,,very happy,good,exciting,,not satisfied at all,0,catholic,less than once a year,,yes,inspired word
2022,113,48,male,black,associate/junior college,15,northeast,never married,0,working full time,48,101280,working class,not very strong democrat,liberal,biden,favor,oppose,should be legal,not too happy,good,exciting,can't be too careful,more or less satisfied,0,protestant,never,believe sometimes,don't know,ancient book
2022,114,40,male,white,bachelor's,16,northeast,never married,0,working full time,50,75960,middle class,"independent, close to democrat",liberal,biden,,oppose,should be legal,pretty happy,good,,can't be too careful,more or less satisfied,0,catholic,about once or twice a year,higher power,no,ancient book
2022,115,,male,black,high school,15,northeast,married,1,working full time,40,,middle class,strong democrat,liberal,,oppose,oppose,,very happy,excellent,don't know,,more or less satisfied,0,protestant,never,,no,word of god
2022,116,44,male,white,less than high school,12,northeast,married,3,working full time,40,52222.5,working class,"independent (neither, no response)",slightly conservative,,,oppose,,very happy,good,,,more or less satisfied,0,protestant,never,no doubts,,
2022,117,42,male,other,high school,12,northeast,married,3,working full time,40,20572.5,working class,"independent, close to democrat","moderate, middle of the road",,,oppose,should not be legal,pretty happy,good,,can't be too careful,not satisfied at all,0,protestant,nearly every week,no doubts,yes,inspired word
2022,118,46,male,other,bachelor's,16,northeast,separated,0,working full time,40,34815,working class,"independent (neither, no response)","moderate, middle of the road",,oppose,favor,,pretty happy,good,routine,,not satisfied at all,15,none,never,,,
2022,119,70,female,white,less than high school,9,northeast,widowed,2,retired,,,middle class,not very strong democrat,slightly liberal,,,favor,should be legal,pretty happy,fair,,can't be too careful,more or less satisfied,,catholic,2-3 times a month,no doubts,yes,word of god
2022,120,20,female,black,high school,14,northeast,never married,0,"unemployed, laid off, looking for work",,,working class,not very strong democrat,extremely liberal,,favor,oppose,should be legal,pretty happy,excellent,exciting,can't be too careful,more or less satisfied,,christian,about once a month,believe with doubts,yes,inspired word
2022,121,36,male,other,high school,12,northeast,married,1,working full time,60,,middle class,"independent, close to republican",slightly conservative,,,oppose,should be legal,very happy,excellent,,most people can be trusted,pretty well satisfied,0,don't know,several times a year,no doubts,no,inspired word
2022,122,82,male,white,high school,14,northeast,married,0,retired,,,middle class,"independent (neither, no response)","moderate, middle of the road",biden,favor,oppose,,pretty happy,good,routine,,more or less satisfied,,catholic,about once or twice a year,,,
2022,123,65,female,white,bachelor's,16,northeast,married,3,working full time,35,42727.5,working class,"independent (neither, no response)",conservative,trump,favor,oppose,,not too happy,good,routine,,not satisfied at all,10,catholic,several times a week,,yes,inspired word
2022,124,64,female,white,less than high school,9,northeast,divorced,5,keeping house,,,working class,not very strong republican,slightly liberal,biden,favor,oppose,,very happy,fair,routine,,not satisfied at all,,catholic,2-3 times a month,,don't know,word of god
2022,125,69,female,,high school,12,northeast,divorced,2,working part time,30,17407.5,working class,strong democrat,liberal,biden,favor,oppose,should be legal,pretty happy,excellent,exciting,can't be too careful,not satisfied at all,0,catholic,never,higher power,no,word of god
2022,126,,male,other,bachelor's,16,northeast,married,2,keeping house,,,lower class,"independent, close to democrat","moderate, middle of the road",,,favor,,pretty happy,fair,,,not satisfied at all,,none,never,believe with doubts,,
2022,127,65,female,white,high school,16,northeast,divorced,0,working full time,70,,middle class,"independent, close to democrat",extremely liberal,biden,favor,oppose,,not too happy,fair,exciting,,not satisfied at all,5,none,never,,yes,ancient book
2022,128,52,male,other,high school,12,northeast,divorced,0,working part time,,20572.5,middle class,"independent, close to republican","moderate, middle of the road",biden,,favor,should be legal,pretty happy,excellent,,can't be too careful,more or less satisfied,0,catholic,never,believe with doubts,yes,inspired word
2022,129,61,male,white,bachelor's,16,northeast,married,2,working full time,15,13451.25,working class,strong republican,"moderate, middle of the road",trump,favor,don't know,should not be legal,pretty happy,good,routine,can't be too careful,not satisfied at all,0,protestant,less than once a year,no doubts,no,word of god
2022,130,31,female,white,graduate,18,northeast,never married,0,working full time,40,42727.5,middle class,strong democrat,extremely liberal,biden,oppose,oppose,,very happy,excellent,routine,,pretty well satisfied,2,jewish,less than once a year,higher power,,
