respondent_id,division,age_group,police_contact_last_year,trust_score_0to10,feels_safe_1to5
R157,Pacific,45-64,no,5,4
R158,Pacific,45-64,no,9,3
R159,Southwest,45-64,no,5,5
R160,Olympic,45-64,no,8,4
R161,Olympic,30-44,yes,7,3
R162,Southwest,30-44,yes,5,2
R163,Pacific,30-44,no,3,5
R164,Southwest,18-29,yes,9,3
R165,Van Nuys,45-64,yes,6,4
R166,Harbor,45-64,yes,4,3
R167,Pacific,18-29,yes,3,3
R168,Southwest,65+,yes,10,3
R169,Southwest,18-29,yes,9,3
R170,Southwest,18-29,no,3,3
R171,Harbor,45-64,no,6,2
R172,Van Nuys,65+,no,10,3
R173,77th Street,18-29,no,6,4
R174,Pacific,65+,yes,7,4
R175,Van Nuys,30-44,yes,5,3
R176,Pacific,45-64,no,6,4
R177,Olympic,65+,yes,8,2
R178,Harbor,18-29,no,5,4
R179,77th Street,30-44,no,6,3
R180,Pacific,45-64,no,5,3
