age,gender,country,english_native,handedness,extraversion,neuroticism,agreeableness,conscientiousness,openness
20,Female,GB,Yes,Right,3.6,3.3,2.1,1.9,3.6
45,Female,IN,No,Right,4.2,2.6,4.6,4.6,4.0
25,Female,US,Yes,Right,3.4,4.6,4.2,3.2,4.3
49,Female,US,Yes,Right,4.2,4.8,2.2,4.6,3.4
33,Female,GB,Yes,Right,3.1,4.7,3.4,2.6,4.8
27,Female,US,No,Right,3.0,3.6,3.5,3.8,3.5
24,Male,US,Yes,Right,3.9,3.3,3.8,3.5,4.8
38,Female,US,Yes,Right,4.3,3.1,4.3,3.4,4.7
24,Female,GB,No,Right,3.4,4.6,4.4,3.1,2.8
17,Male,US,Yes,Right,4.1,2.3,4.0,3.8,3.5
47,Male,GB,Yes,Right,2.9,2.8,4.1,4.0,4.1
19,Female,CA,Yes,Left,4.3,1.5,5.0,4.6,4.2
24,Female,CA,No,Right,2.0,3.5,4.7,3.4,3.9
21,Male,EG,No,Right,1.2,4.5,3.2,2.9,3.0
21,Male,US,Yes,Right,1.9,1.8,3.5,3.3,4.1
27,Male,US,Yes,Right,2.4,4.0,4.3,2.6,4.7
39,Female,US,Yes,Right,2.5,4.6,4.3,3.2,4.6
13,Female,PH,No,Right,1.6,3.8,2.5,3.3,3.7
30,Female,US,Yes,Right,2.2,2.7,4.7,3.4,3.8
22,Female,US,Yes,Right,3.8,3.6,3.0,3.4,4.4
25,Male,IN,No,Right,2.9,3.6,3.4,2.8,2.3
18,Female,US,Yes,Right,3.5,4.6,3.9,3.0,3.5
27,Female,IN,No,Right,3.8,3.2,4.1,3.6,4.6
34,Male,US,Yes,Right,3.0,2.7,3.8,3.5,3.6
39,Male,US,Yes,Right,1.2,2.1,3.9,1.9,4.4
65,Female,CA,Yes,Right,3.9,2.1,5.0,3.9,3.6
18,Male,US,Yes,Right,1.0,2.0,3.0,4.2,4.5
23,Male,US,Yes,Right,3.5,1.6,3.9,2.7,4.7
32,Female,US,Yes,Right,2.7,2.7,4.8,4.2,4.4
42,Male,IN,Yes,Right,1.9,2.1,3.6,2.1,3.1
16,Male,KE,No,Left,2.5,3.0,3.1,2.6,3.9
40,Female,US,Yes,Right,4.1,4.5,4.1,2.3,4.5
20,Male,HU,No,Right,1.9,3.4,3.6,3.2,4.1
14,Male,AE,No,Right,1.1,2.6,1.7,3.5,4.0
16,Female,US,Yes,Right,2.9,3.0,4.9,3.7,4.3
15,Female,US,Yes,Right,2.4,1.5,4.0,3.1,3.6
42,Male,NG,Yes,Right,3.0,3.0,2.8,2.8,3.2
30,Female,MN,No,Right,4.4,3.4,4.5,3.1,4.0
28,Female,US,Yes,Right,4.0,4.1,3.7,2.4,5.0
32,Female,US,Yes,Right,4.0,3.4,4.5,4.1,4.1
20,Female,US,No,Right,3.0,3.1,2.6,3.1,4.2
40,Male,NG,No,Right,3.2,1.1,4.8,3.6,3.9
22,Female,US,Yes,Right,2.5,4.1,4.1,2.9,4.4
18,Female,CA,Yes,Right,2.8,2.9,3.3,2.4,4.1
21,Male,GB,Yes,Right,3.1,3.6,3.1,3.1,4.2
25,Male,IN,No,Right,3.5,3.4,3.9,3.2,3.5
16,Male,GB,Yes,Right,3.2,2.6,3.5,3.2,3.8
31,Female,PH,No,Right,2.7,3.0,3.8,3.9,3.3
55,Female,AU,Yes,Both,2.9,3.1,4.2,3.2,4.6
19,Female,PL,No,Right,2.1,4.7,4.1,3.8,4.6
22,Female,TR,No,Right,2.5,3.7,3.5,3.2,4.0
56,Female,FI,No,Right,4.0,3.0,4.3,3.2,4.8
39,Male,US,Yes,Right,3.4,4.3,3.9,3.2,4.3
32,Male,US,Yes,Right,1.0,2.9,2.1,2.4,3.7
19,Female,US,No,Right,4.6,3.0,4.4,4.7,4.5
41,Male,IT,No,Right,2.6,3.2,3.2,3.5,4.8
22,Female,US,Yes,Right,3.1,3.8,3.9,3.7,3.6
36,Male,AE,No,Right,4.9,3.8,4.7,3.8,4.4
19,Female,KE,No,Right,3.1,3.2,4.0,2.8,2.9
20,Female,IN,No,Right,1.3,4.0,3.3,2.5,3.5
27,Female,US,Yes,Right,2.6,4.0,4.4,4.3,4.1
21,Female,US,No,Right,4.0,2.6,4.5,3.5,3.1
16,Male,US,Yes,Right,2.3,2.4,4.2,3.8,3.4
19,Female,US,Yes,Right,3.2,2.0,5.0,4.2,4.0
48,Male,AU,No,Right,2.4,2.7,4.1,4.4,4.1
20,Male,US,Yes,Right,3.2,3.0,4.5,3.1,4.9
19,Male,KE,No,Right,3.5,3.4,4.5,4.9,4.4
21,Female,DK,No,Left,2.4,3.3,2.9,2.1,4.0
20,Female,US,Yes,Right,4.6,3.4,3.7,2.0,4.7
48,Female,AU,Yes,Right,4.4,2.7,4.7,3.8,4.7
20,Female,IT,No,Right,3.1,3.8,3.4,2.6,3.5
20,Female,IN,No,Right,2.6,3.9,3.9,3.2,3.3
18,Male,GB,Yes,Right,2.6,1.8,3.9,3.3,4.3
22,Female,US,Yes,Left,3.7,4.2,4.6,2.8,4.4
15,Male,BR,No,Right,2.3,3.5,4.1,3.8,4.6
14,Female,MX,No,Right,3.7,2.5,3.4,3.2,4.0
65,Male,US,Yes,Right,2.9,2.8,3.6,3.8,3.3
45,Female,US,Yes,Right,4.5,2.6,4.8,3.1,4.8
19,Male,AR,No,Right,2.8,2.6,3.4,2.8,3.8
25,Female,PT,No,Right,3.8,4.0,3.6,2.9,4.6
30,Female,GB,Yes,Right,2.9,2.9,4.3,4.1,4.1
17,Male,AU,Yes,Left,3.7,2.2,2.8,3.4,4.3
21,Female,US,Yes,Right,1.0,3.9,2.8,3.6,4.7
17,Male,GB,Yes,Left,2.4,2.5,1.5,3.2,3.5
32,Male,FI,No,Right,2.4,3.4,4.0,3.0,4.3
19,Female,CA,No,Right,2.4,2.4,4.2,2.2,4.4
20,Female,AR,No,Right,3.8,3.5,3.3,3.1,3.8
26,Female,US,Yes,Right,3.4,3.3,3.8,1.9,4.1
19,Female,US,Yes,Right,3.8,3.1,4.3,3.6,1.8
18,Female,IS,No,Right,1.4,3.4,2.6,4.5,4.6
57,Male,US,Yes,Right,4.0,1.8,4.9,4.5,4.1
20,Male,US,Yes,Right,2.8,2.5,3.7,3.8,3.0
18,Male,GB,Yes,Right,2.4,2.8,2.8,2.7,4.7
24,Male,CA,Yes,Left,4.2,3.0,4.0,3.4,3.6
19,Male,GB,Yes,Left,4.5,1.6,2.5,4.5,4.3
21,Female,CA,Yes,Right,1.2,4.4,3.8,2.8,4.1
29,Female,DE,No,Right,2.7,3.3,4.7,2.6,4.7
36,Female,GB,Yes,Right,3.2,1.4,4.4,4.5,3.8
20,Female,US,No,Right,3.8,3.7,3.5,2.8,2.1
24,Male,NL,No,Right,3.6,2.2,3.8,3.7,3.9
22,Female,US,Yes,Right,2.8,4.1,3.5,3.8,3.1
16,Male,US,Yes,Left,1.8,1.1,4.5,3.5,4.6
50,Female,US,Yes,Right,3.9,2.1,4.9,3.6,4.5
18,Female,US,No,Right,3.6,3.1,3.9,3.6,3.4
19,Female,US,Yes,Right,2.2,3.4,4.6,4.4,4.8
29,Male,US,Yes,Right,3.0,2.4,4.4,3.9,3.4
22,Female,US,Yes,Right,3.6,4.4,4.3,2.8,4.0
29,Male,ES,Yes,Right,3.6,1.2,3.9,2.9,4.2
37,Female,HK,No,Right,3.7,2.8,4.4,3.0,4.4
14,Female,CA,Yes,Right,1.9,3.1,3.5,2.7,3.5
15,Female,GB,Yes,Right,3.1,3.3,2.9,2.8,3.1
16,Male,US,Yes,Right,3.6,2.4,3.6,3.5,3.1
26,Female,PH,No,Right,2.3,4.0,3.5,3.5,3.9
20,Female,US,Yes,Right,3.6,3.9,3.5,3.0,4.2
16,Male,PH,Yes,Right,3.6,2.8,4.6,2.5,3.4
60,Female,CA,No,Right,2.9,1.8,4.5,4.2,4.2
21,Female,(nu,No,Right,4.4,2.0,3.4,4.0,3.1
13,Male,US,Yes,Right,2.0,4.5,4.1,2.3,3.8
21,Female,IN,No,Right,3.4,3.7,4.0,3.1,2.7
14,Female,AU,Yes,Right,4.7,2.6,4.8,2.6,4.1
37,Female,US,Yes,Right,3.9,4.0,4.2,3.9,3.5
19,Female,SG,Yes,Right,2.7,2.8,4.3,2.9,3.4
20,Female,US,Yes,Right,1.7,3.1,4.3,4.0,4.2
20,Female,MY,No,Right,2.4,2.6,4.5,3.9,3.8
22,Male,US,Yes,Right,2.4,3.5,4.1,2.7,5.0
17,Female,US,Yes,Right,2.8,3.1,4.2,2.2,3.9
18,Female,US,Yes,Right,3.7,2.2,4.9,2.9,4.0
24,Male,US,Yes,Right,3.4,2.0,2.7,4.1,4.4
24,Female,US,Yes,Right,4.2,3.3,3.7,3.6,2.7
19,Male,US,Yes,Right,2.7,2.3,4.6,3.4,4.1
25,Female,TT,Yes,Right,4.9,3.0,2.2,3.5,3.7
18,Female,US,Yes,Right,4.5,1.0,3.3,4.8,4.4
25,Male,US,Yes,Right,1.2,4.4,3.7,2.3,4.1
17,Female,IN,No,Both,3.3,3.7,4.2,4.5,3.8
16,Female,US,Yes,Right,2.2,4.0,3.2,2.9,2.8
13,Female,US,Yes,Right,2.4,2.3,4.3,3.2,3.6
19,Male,US,Yes,Both,1.3,3.2,3.6,4.0,4.8
43,Male,IT,No,Right,2.9,3.5,3.7,2.7,3.0
24,Male,GB,Yes,Right,1.1,3.5,3.6,2.4,4.0
25,Female,US,Yes,Right,4.2,2.5,4.8,3.8,4.3
49,Male,IN,No,Right,3.2,2.3,4.5,4.1,4.1
42,Male,AE,No,Right,3.1,4.0,4.3,3.7,2.9
38,Female,GB,Yes,Right,2.6,3.8,4.7,2.6,2.9
18,Female,US,Yes,Right,1.8,2.2,2.8,3.3,4.2
33,Female,AU,Yes,Right,3.5,3.1,3.3,3.6,3.9
45,Male,DK,No,Right,3.8,2.4,3.3,3.9,4.0
29,Female,US,No,Right,3.2,2.0,3.4,4.1,4.5
33,Female,CA,No,Right,2.0,2.9,3.5,4.2,3.2
21,Female,GB,Yes,Right,2.2,3.2,2.9,1.7,2.7
19,Female,US,Yes,Right,2.3,3.1,3.8,3.9,4.2
18,Female,GB,Yes,Right,3.8,3.5,4.7,3.3,4.1
24,Female,AU,Yes,Right,3.0,2.4,5.0,3.1,4.2
53,Female,US,Yes,Left,4.0,1.6,4.4,4.2,4.1
30,Female,US,Yes,Right,2.1,3.6,4.9,3.3,3.9
21,Male,DK,No,Right,1.1,2.9,3.4,2.5,2.8
55,Female,US,Yes,Right,3.1,2.8,4.7,1.6,5.0
36,Female,US,Yes,Right,3.5,2.2,3.7,4.2,2.6
18,Female,NL,No,Right,3.1,1.9,4.1,2.2,3.5
21,Male,US,Yes,Right,4.5,2.4,3.3,2.6,3.7
19,Female,IN,Yes,Right,2.9,3.3,3.1,4.0,4.2
17,Male,PH,No,Right,3.3,3.8,4.0,4.0,3.8
17,Female,PK,Yes,Right,3.0,4.0,4.1,3.5,3.6
15,Female,US,Yes,Right,2.7,2.7,3.4,3.6,3.8
54,Female,US,Yes,Right,2.1,3.9,4.8,4.9,4.0
55,Female,US,Yes,Right,4.1,1.6,4.5,3.0,3.7
32,Female,LB,No,Right,3.1,3.1,4.7,3.9,3.5
27,Male,IN,No,Right,2.3,2.6,2.9,3.2,3.4
19,Female,RS,No,Right,2.8,3.2,3.2,3.1,3.6
27,Female,FR,No,Right,2.8,1.8,3.2,3.4,4.5
25,Female,US,Yes,Right,2.7,2.4,3.5,2.4,4.3
16,Male,US,Yes,Right,4.4,3.0,3.6,3.2,4.1
40,Female,US,Yes,Right,1.8,1.1,3.1,3.7,3.8
28,Male,RU,No,Both,2.3,4.1,3.8,3.4,4.9
17,Male,FR,No,Left,4.4,3.6,2.2,1.7,4.5
33,Female,AE,Yes,Right,3.0,3.6,3.5,2.8,3.3
29,Male,TH,No,Right,3.7,3.8,3.9,3.5,4.3
20,Male,US,Yes,Right,4.6,4.1,4.6,4.7,4.1
17,Male,US,Yes,Right,3.1,2.2,3.6,3.4,4.4
23,Female,US,Yes,Right,2.8,4.3,4.9,3.2,3.5
24,Female,PK,No,Right,3.4,4.0,4.3,3.8,3.8
68,Female,US,Yes,Right,1.7,2.2,4.2,3.0,4.2
22,Female,US,Yes,Right,2.6,3.2,3.8,3.1,4.5
34,Male,GB,Yes,Left,3.8,3.2,2.2,2.7,4.6
17,Female,US,Yes,Right,4.2,3.6,4.6,3.1,4.0
26,Male,US,Yes,Right,2.1,2.5,2.7,3.4,3.2
59,Female,US,Yes,Right,2.8,2.8,4.3,4.8,3.5
22,Female,PK,No,Right,2.0,3.2,4.0,3.9,3.1
43,Male,GB,Yes,Left,3.0,4.2,4.5,3.3,4.2
28,Male,IN,No,Right,4.4,1.8,3.6,4.0,3.9
41,Female,US,Yes,Right,3.6,4.0,4.2,4.8,2.4
22,Female,GB,Yes,Right,2.4,1.9,4.9,3.3,4.0
35,Female,AU,No,Right,2.1,4.0,3.0,3.4,3.1
36,Male,JP,No,Left,3.3,2.9,4.7,4.3,4.4
35,Male,US,Yes,Right,3.4,1.8,4.2,4.1,3.7
16,Male,US,Yes,Both,1.5,2.1,1.8,2.1,4.8
14,Female,GB,Yes,Right,1.9,3.9,3.7,2.9,4.2
15,Male,GB,Yes,Right,4.2,3.9,4.5,2.9,3.1
18,Male,US,Yes,Right,1.6,4.3,4.2,2.4,3.7
25,Female,IN,Yes,Right,3.0,4.2,3.9,3.1,3.6
18,Female,US,Yes,Right,1.9,4.2,4.1,3.4,3.0
20,Female,AU,Yes,Right,4.1,3.3,3.8,2.0,4.5
16,Male,US,Yes,Right,2.1,2.1,2.8,4.0,3.6
19,Male,US,Yes,Right,3.2,2.5,2.7,3.7,3.7
25,Female,US,,Left,3.5,3.3,3.9,3.7,4.3
17,Female,FR,No,Right,2.1,3.7,2.9,3.0,3.4
17,Female,US,Yes,Right,2.4,2.4,4.1,2.8,3.4
48,Female,US,Yes,Right,2.4,3.2,4.3,3.4,3.6
20,Male,FR,Yes,Right,2.7,3.2,3.0,3.8,3.1
18,Female,US,Yes,Right,3.8,2.8,4.1,3.3,3.6
24,Male,AU,Yes,Right,2.0,2.8,4.1,2.5,3.3
13,Female,US,Yes,Right,2.3,2.9,3.0,4.0,4.6
26,Male,(nu,No,Right,2.9,3.8,3.3,3.9,4.4
43,Male,US,Yes,Both,3.4,2.1,2.5,3.5,3.5
19,Female,US,No,Right,2.3,3.4,3.7,3.2,3.0
20,Female,ZA,No,Right,2.4,2.8,4.2,3.4,3.5
46,Female,US,Yes,Right,1.1,3.4,1.1,1.8,4.6
20,Female,US,Yes,Right,3.7,2.3,3.8,4.8,3.7
21,Male,LK,No,Right,3.4,3.3,3.5,3.4,3.4
51,Female,US,Yes,Right,3.5,1.8,4.6,4.2,4.6
44,Male,US,Yes,Right,2.2,4.5,2.3,3.7,4.1
34,Female,IT,No,Right,2.4,4.2,4.2,3.2,4.8
29,Female,US,No,Right,3.5,2.8,3.4,4.7,4.0
18,Female,US,Yes,Right,1.6,3.9,4.2,3.7,3.0
17,Female,US,Yes,Right,4.4,4.6,3.3,4.4,4.7
16,Male,US,Yes,Right,1.8,2.2,1.8,1.8,4.4
53,Male,KW,No,Right,2.8,4.2,4.4,4.1,4.5
19,Male,CA,No,Right,2.8,3.2,3.3,3.3,3.1
19,Female,IN,No,Right,3.4,3.4,3.7,3.5,4.1
35,Male,EU,No,Right,1.8,3.1,4.2,3.1,3.4
24,Male,GB,Yes,Left,2.8,4.0,4.0,2.4,4.7
19,Female,BR,No,Right,1.6,3.8,4.3,2.7,2.9
18,Female,DE,No,Left,1.9,4.0,4.3,3.3,4.2
18,Female,US,Yes,Right,4.3,2.9,3.7,3.5,3.0
26,Female,FI,No,Right,3.0,4.0,3.7,3.2,3.4
18,Male,HK,Yes,Right,2.0,4.7,4.5,3.5,4.7
24,Female,SE,No,Right,2.4,3.0,3.9,3.4,4.4
16,Male,US,Yes,Left,1.6,4.2,3.7,2.9,3.1
22,Female,US,Yes,Right,3.7,2.4,5.0,4.2,4.7
55,Male,US,Yes,Left,2.6,2.4,4.0,3.8,4.5
44,Female,US,Yes,Right,2.2,4.0,3.9,3.6,4.3
18,Female,US,Yes,Right,2.9,3.4,3.9,3.2,3.8
16,Male,US,Yes,Right,4.0,2.3,4.7,3.7,4.3
18,Female,US,Yes,Right,3.9,3.2,4.1,4.7,3.7
56,Female,(nu,Yes,Right,2.4,4.4,3.0,3.0,2.7
47,Female,GB,Yes,Right,2.0,2.8,2.3,4.1,3.7
22,Female,RS,No,Right,3.6,3.6,3.6,3.7,4.0
18,Female,US,Yes,Right,2.5,3.3,3.2,2.1,2.5
27,Male,US,Yes,Right,2.7,2.6,3.1,3.2,4.0
25,Female,FI,No,Left,4.2,3.4,3.8,3.0,3.5
29,Female,IN,No,Right,3.7,4.4,4.3,4.4,3.4
26,Female,US,No,Right,4.0,2.0,3.7,3.5,4.1
17,Female,ES,No,Right,3.5,3.8,4.0,3.2,4.6
47,Female,BE,No,Left,3.4,2.8,4.3,3.1,4.3
19,Female,US,Yes,Right,3.7,2.9,4.7,4.6,4.1
36,Male,US,Yes,Both,2.8,1.9,3.5,2.6,4.0
14,Male,GB,Yes,Right,3.2,2.0,4.3,4.2,4.6
53,Male,SE,Yes,Right,1.3,2.8,3.8,2.6,4.4
32,Male,IN,No,Right,4.0,3.4,4.8,3.3,4.2
25,Female,IN,No,Right,2.3,3.1,3.8,3.1,2.4
29,Male,CN,Yes,Right,1.8,2.1,3.9,3.6,3.1
27,Male,US,No,Right,4.2,3.1,3.5,4.6,3.6
23,Female,IN,No,Right,2.9,4.4,2.8,4.1,4.5
25,Male,US,Yes,Right,2.6,2.6,3.8,4.3,3.8
20,Female,ZA,Yes,Left,3.6,1.2,4.6,2.7,4.4
19,Female,US,Yes,Right,3.3,2.0,5.0,4.5,3.4
24,Female,IT,No,Right,2.4,4.0,4.5,3.8,4.5
14,Male,CA,Yes,Right,2.0,4.5,3.9,4.0,3.0
27,Male,US,Yes,Right,4.2,3.7,2.3,2.4,3.7
30,Female,US,Yes,Right,3.8,4.3,3.7,3.4,4.0
28,Female,US,Yes,Right,2.7,2.7,4.0,3.0,3.6
25,Female,US,,Right,2.6,3.2,4.4,2.3,3.9
47,Female,US,Yes,Right,3.0,2.3,4.1,3.3,3.8
41,Male,ID,No,Right,1.0,3.1,3.0,2.9,4.2
42,Female,US,Yes,Left,2.8,4.0,3.7,4.5,4.2
38,Male,US,Yes,Right,2.8,2.2,4.4,4.4,3.3
16,Female,US,Yes,Right,4.3,2.5,4.2,4.3,4.2
22,Female,GB,No,Right,3.3,3.2,3.1,2.8,3.4
16,Female,AU,Yes,Both,3.8,3.0,3.9,2.3,4.8
16,Female,US,No,Right,1.7,3.0,3.5,3.0,3.1
47,Female,GB,Yes,Right,4.0,1.7,5.0,3.5,3.7
21,Female,PK,No,Right,4.1,1.6,4.7,3.5,3.9
55,Female,US,Yes,Right,2.2,1.8,4.7,4.2,4.1
19,Female,FR,No,Right,2.6,4.7,4.5,3.1,3.4
19,Female,SA,Yes,Right,3.7,3.3,4.4,3.7,4.7
17,Male,US,Yes,Right,3.2,1.4,3.6,2.2,4.3
20,Male,MX,No,Right,1.7,3.6,2.9,2.4,4.1
44,Female,US,Yes,Right,4.4,4.4,4.9,4.8,4.2
24,Female,US,Yes,Right,2.6,2.7,3.5,3.2,3.4
22,Male,IT,No,Right,4.0,2.6,3.6,3.2,4.3
22,Male,US,Yes,Right,2.6,3.0,3.8,2.6,3.3
27,Female,AU,Yes,Left,2.8,3.0,3.8,3.7,4.7
18,Female,CA,Yes,Right,2.6,4.9,4.0,2.2,4.8
19,Male,US,Yes,Both,1.9,4.9,4.1,2.7,3.4
15,Female,AU,,Left,3.9,3.2,3.8,2.7,4.2
20,Female,(nu,Yes,Right,3.7,2.6,4.3,3.6,3.6
17,Male,US,Yes,Right,1.3,3.1,2.0,2.4,2.8
23,Female,AR,No,Right,3.5,3.3,3.9,2.7,3.8
40,Female,GB,Yes,Right,3.2,2.2,3.9,3.6,3.8
24,Female,IT,No,Right,2.8,2.3,3.9,2.4,3.8
16,Male,GB,Yes,Right,3.2,2.8,3.6,2.6,4.6
34,Female,US,Yes,Right,3.3,4.0,4.0,4.2,4.4
17,Female,PH,No,Right,1.8,4.4,3.8,4.1,3.9
18,Female,PH,No,Right,2.9,2.0,3.7,3.3,3.6
17,Female,IN,No,Right,2.6,2.4,4.5,3.7,5.0
17,Male,US,Yes,Right,1.5,3.7,4.0,2.4,3.7
