call_id,division,shift,call_type,priority,response_time_min
C0044,Harbor,Night,Vehicle theft,2,4.3
C0045,Pacific,Day,Traffic collision,2,5.7
C0046,Harbor,Day,Traffic collision,1,4.3
C0047,Olympic,Night,Assault,1,6.4
C0048,77th Street,Night,Disturbance,1,8.3
C0049,77th Street,Day,Burglary,1,9.9
C0050,Van Nuys,Night,Traffic collision,2,4.0
C0051,Harbor,Day,Disturbance,3,16.0
C0052,77th Street,Night,Disturbance,3,8.4
C0053,77th Street,Day,Traffic collision,3,21.7
C0054,77th Street,Day,Burglary,1,14.6
C0055,Harbor,Day,Disturbance,2,3.2
C0056,Pacific,Night,Disturbance,2,12.1
C0057,Van Nuys,Day,Traffic collision,2,6.2
C0058,77th Street,Day,Burglary,3,5.9
C0059,Van Nuys,Day,Disturbance,2,16.1
C0060,Olympic,Day,Assault,3,12.2
C0061,Harbor,Day,Disturbance,2,6.6
C0062,Harbor,Night,Vehicle theft,1,4.0
C0063,Van Nuys,Night,Disturbance,3,7.8
C0064,Harbor,Day,Disturbance,2,3.4
C0065,Olympic,Day,Traffic collision,3,8.4
C0066,Van Nuys,Day,Disturbance,3,21.9
C0067,77th Street,Night,Disturbance,2,9.8
C0068,Harbor,Night,Traffic collision,2,4.5
C0069,Harbor,Night,Assault,2,12.9
C0070,Southwest,Day,Assault,2,4.7
C0071,Pacific,Day,Vehicle theft,2,2.6
C0072,Southwest,Day,Disturbance,3,4.6
C0073,Harbor,Day,Disturbance,3,7.3
C0074,Harbor,Night,Traffic collision,2,13.2
C0075,Van Nuys,Day,Traffic collision,2,4.3
C0076,Southwest,Day,Burglary,2,4.9
C0077,Olympic,Night,Vehicle theft,3,7.4
C0078,Southwest,Night,Burglary,3,4.4
C0079,Olympic,Day,Burglary,2,6.9
C0080,Pacific,Night,Disturbance,3,9.7
C0081,Harbor,Day,Traffic collision,2,10.0
C0082,Van Nuys,Day,Disturbance,3,3.4
C0083,Van Nuys,Night,Other,3,10.4
C0084,77th Street,Day,Traffic collision,2,7.1
C0085,Harbor,Day,Disturbance,3,2.8
C0086,Southwest,Day,Traffic collision,3,4.9
C0087,Olympic,Night,Assault,2,7.6
C0088,77th Street,Night,Burglary,3,9.5
C0089,77th Street,Day,Other,3,6.1
C0090,Van Nuys,Day,Traffic collision,1,6.7
C0091,Olympic,Day,Traffic collision,3,4.5
C0092,77th Street,Night,Assault,1,20.5
C0093,77th Street,Night,Traffic collision,2,10.1
C0094,Van Nuys,Night,Disturbance,1,9.2
C0095,Pacific,Day,Disturbance,3,6.5
C0096,Southwest,Day,Disturbance,1,2.7
C0097,Olympic,Night,Other,2,8.3
C0098,Pacific,Day,Assault,1,2.7
C0099,Pacific,Day,Disturbance,2,13.3
C0100,77th Street,Day,Disturbance,2,10.0
C0101,Southwest,Day,Burglary,2,5.7
C0102,Olympic,Night,Traffic collision,2,5.4
C0103,Harbor,Day,Other,2,7.4
C0104,Pacific,Day,Burglary,2,3.8
C0105,Olympic,Day,Other,3,24.5
C0106,77th Street,Day,Traffic collision,1,7.8
C0107,77th Street,Day,Disturbance,3,38.8
C0108,Olympic,Day,Burglary,1,7.4
C0109,77th Street,Night,Disturbance,2,11.6
C0110,Van Nuys,Night,Vehicle theft,2,9.0
C0111,Pacific,Day,Burglary,2,5.2
C0112,Pacific,Day,Traffic collision,1,4.0
C0113,77th Street,Day,Disturbance,3,12.8
C0114,Harbor,Night,Other,3,5.2
C0115,77th Street,Night,Traffic collision,2,8.4
C0116,Southwest,Night,Traffic collision,3,9.5
C0117,Olympic,Day,Traffic collision,2,9.5
C0118,Southwest,Day,Vehicle theft,2,7.7
C0119,Van Nuys,Day,Burglary,2,13.3
C0120,Van Nuys,Day,Traffic collision,1,4.4
C0121,Southwest,Day,Other,1,9.6
C0122,Olympic,Day,Disturbance,3,11.2
C0123,Pacific,Night,Other,3,7.4
C0124,Pacific,Day,Burglary,2,6.8
C0125,Harbor,Day,Burglary,2,3.5
C0126,Van Nuys,Day,Disturbance,1,5.2
C0127,Olympic,Night,Disturbance,2,8.2
C0128,77th Street,Day,Other,2,8.3
C0129,Pacific,Night,Disturbance,3,10.2
C0130,Harbor,Day,Assault,1,5.0
C0131,Olympic,Day,Assault,2,7.9
C0132,77th Street,Day,Assault,1,5.5
C0133,Southwest,Night,Burglary,2,5.1
C0134,Pacific,Day,Traffic collision,3,6.5
C0135,Harbor,Day,Disturbance,1,4.9
C0136,77th Street,Day,Burglary,3,6.7
C0137,Olympic,Night,Disturbance,3,7.1
C0138,Olympic,Night,Traffic collision,2,12.1
C0139,Olympic,Night,Traffic collision,2,6.3
C0140,Van Nuys,Day,Disturbance,3,9.3
C0141,Pacific,Day,Disturbance,2,5.7
C0142,Van Nuys,Day,Burglary,3,9.4
C0143,Olympic,Day,Traffic collision,1,5.8
C0144,Southwest,Night,Burglary,1,9.2
C0145,Harbor,Day,Burglary,2,4.6
C0146,Harbor,Night,Burglary,3,11.2
C0147,Harbor,Night,Burglary,2,7.0
C0148,Van Nuys,Day,Burglary,3,8.1
C0149,Harbor,Night,Disturbance,2,3.6
C0150,Olympic,Night,Disturbance,2,6.0
C0151,Pacific,Day,Traffic collision,2,4.3
C0152,Harbor,Day,Disturbance,2,10.8
C0153,Olympic,Night,Disturbance,1,6.5
C0154,Van Nuys,Day,Disturbance,2,3.1
C0155,Pacific,Night,Burglary,3,7.9
C0156,Pacific,Night,Traffic collision,3,6.0
C0157,Olympic,Day,Disturbance,1,2.6
C0158,77th Street,Night,Burglary,2,8.5
C0159,Southwest,Night,Assault,2,23.9
C0160,Harbor,Day,Other,1,6.4
C0161,Olympic,Night,Vehicle theft,2,12.0
C0162,Southwest,Day,Disturbance,2,4.9
C0163,Olympic,Night,Vehicle theft,2,7.0
C0164,Van Nuys,Day,Disturbance,1,3.4
C0165,Harbor,Day,Other,2,7.4
C0166,Olympic,Night,Burglary,2,7.1
C0167,Olympic,Day,Assault,2,5.6
C0168,Olympic,Day,Traffic collision,1,5.6
C0169,Pacific,Day,Traffic collision,2,1.8
C0170,Harbor,Day,Disturbance,1,2.2
C0171,Van Nuys,Day,Disturbance,2,7.7
C0172,77th Street,Day,Vehicle theft,2,10.0
C0173,Pacific,Night,Disturbance,2,8.5
C0174,Southwest,Day,Vehicle theft,3,6.3
C0175,Harbor,Night,Traffic collision,3,6.4
C0176,Harbor,Night,Burglary,2,8.3
C0177,Van Nuys,Day,Traffic collision,2,9.5
C0178,Southwest,Day,Disturbance,3,7.2
C0179,77th Street,Day,Vehicle theft,2,12.3
C0180,Olympic,Day,Traffic collision,1,9.5
C0181,Harbor,Day,Burglary,1,3.7
C0182,Van Nuys,Day,Burglary,2,7.2
C0183,Southwest,Day,Disturbance,2,4.7
C0184,Harbor,Day,Disturbance,3,11.4
C0185,Harbor,Night,Burglary,2,12.3
C0186,Southwest,Night,Traffic collision,3,5.9
C0187,Harbor,Day,Traffic collision,2,7.6
C0188,Olympic,Day,Disturbance,3,16.6
C0189,Pacific,Day,Traffic collision,3,3.0
C0190,77th Street,Day,Traffic collision,2,7.7
C0191,Harbor,Night,Disturbance,3,7.7
C0192,Harbor,Day,Traffic collision,2,5.0
C0193,Van Nuys,Night,Burglary,2,14.2
C0194,Pacific,Night,Vehicle theft,3,2.9
C0195,Pacific,Night,Disturbance,1,6.2
C0196,Harbor,Night,Vehicle theft,3,5.4
C0197,Southwest,Night,Disturbance,2,7.9
C0198,Harbor,Day,Disturbance,2,2.2
C0199,77th Street,Day,Traffic collision,2,5.1
C0200,77th Street,Night,Burglary,3,11.8
C0201,Olympic,Day,Traffic collision,3,16.4
C0202,77th Street,Day,Vehicle theft,3,5.4
C0203,Southwest,Night,Disturbance,2,5.1
C0204,Pacific,Night,Vehicle theft,3,14.3
C0205,Harbor,Day,Vehicle theft,3,3.1
C0206,Olympic,Night,Traffic collision,3,7.0
C0207,Harbor,Day,Assault,2,9.6
C0208,Harbor,Day,Burglary,3,6.4
C0209,Olympic,Day,Other,3,6.8
C0210,77th Street,Day,Disturbance,3,9.9
C0211,Van Nuys,Night,Assault,1,10.8
C0212,Harbor,Day,Disturbance,1,4.6
C0213,Van Nuys,Day,Disturbance,2,6.8
C0214,Pacific,Day,Other,2,9.0
C0215,Pacific,Night,Other,2,5.6
C0216,Pacific,Day,Disturbance,2,3.7
C0217,Pacific,Night,Traffic collision,2,11.2
C0218,77th Street,Night,Disturbance,2,18.9
C0219,Pacific,Day,Disturbance,1,6.7
C0220,Olympic,Day,Traffic collision,2,9.8
C0221,Van Nuys,Day,Burglary,2,4.3
C0222,Pacific,Day,Disturbance,2,10.9
C0223,Pacific,Night,Other,3,8.0
C0224,77th Street,Day,Burglary,2,6.2
C0225,Olympic,Day,Assault,2,7.0
C0226,Van Nuys,Night,Disturbance,1,6.1
C0227,Harbor,Night,Traffic collision,1,9.7
C0228,Harbor,Night,Assault,1,6.7
C0229,Southwest,Night,Traffic collision,2,4.8
C0230,Olympic,Day,Disturbance,2,9.2
C0231,Harbor,Day,Traffic collision,3,7.7
C0232,Van Nuys,Night,Burglary,1,4.6
C0233,Harbor,Day,Vehicle theft,2,4.0
C0234,Harbor,Night,Other,2,11.7
C0235,Pacific,Night,Disturbance,2,7.6
C0236,Southwest,Day,Burglary,2,5.0
C0237,Olympic,Night,Assault,2,11.0
C0238,Southwest,Day,Disturbance,2,5.7
C0239,Pacific,Day,Other,2,8.3
C0240,Harbor,Day,Disturbance,3,10.4
